Minus-X_Array,,
,,
Time (UTCG),Power (W),Solar Intensity
19:00.0,7.428,1
20:00.0,7.418,1
21:00.0,7.428,1
22:00.0,7.425,1
23:00.0,7.425,1
24:00.0,7.399,1
25:00.0,7.425,1
26:00.0,7.42,1
27:00.0,7.424,1
28:00.0,7.425,1
29:00.0,7.421,1
30:00.0,7.424,1
31:00.0,7.424,1
32:00.0,7.423,1
33:00.0,7.424,1
34:00.0,7.425,1
35:00.0,7.423,1
36:00.0,7.414,1
37:00.0,7.33,1
38:00.0,7.156,1
39:00.0,6.92,1
40:00.0,6.632,1
41:00.0,6.387,1
42:00.0,6.197,1
43:00.0,6.069,1
44:00.0,5.942,1
45:00.0,5.842,1
46:00.0,5.778,1
47:00.0,5.744,1
48:00.0,5.743,1
49:00.0,5.764,1
50:00.0,5.819,1
51:00.0,5.909,1
52:00.0,6.027,1
53:00.0,6.156,1
54:00.0,6.322,1
55:00.0,6.549,1
56:00.0,6.831,1
57:00.0,7.085,1
58:00.0,7.281,1
59:00.0,7.398,1
00:00.0,7.43,1
01:00.0,7.424,1
02:00.0,7.424,1
03:00.0,7.424,1
04:00.0,7.424,1
05:00.0,7.422,1
06:00.0,7.426,1
07:00.0,7.425,1
08:00.0,7.424,1
09:00.0,7.428,1
10:00.0,7.425,1
11:00.0,7.419,1
12:00.0,7.421,1
13:00.0,7.425,1
14:00.0,7.423,1
15:00.0,7.434,1
16:00.0,7.424,1
17:00.0,7.424,1
18:00.0,7.425,1
19:00.0,7.424,1
20:00.0,7.421,1
21:00.0,7.429,1
22:00.0,7.423,1
23:00.0,7.37,1
24:00.0,7.21,1
25:00.0,6.979,1
26:00.0,6.656,1
27:00.0,6.352,1
28:00.0,6.11,1
29:00.0,5.936,1
30:00.0,5.766,1
31:00.0,5.635,1
32:00.0,5.531,1
33:00.0,5.466,1
34:00.0,5.42,1
35:00.0,5.406,1
36:00.0,5.419,1
37:00.0,5.455,1
38:00.0,5.527,1
39:00.0,5.629,1
40:00.0,5.759,1
41:00.0,5.926,1
42:00.0,6.106,1
43:00.0,6.335,1
44:00.0,6.642,1
45:00.0,6.963,1
46:00.0,7.197,1
47:00.0,7.358,1
48:00.0,7.424,1
49:00.0,7.424,1
50:00.0,7.413,1
51:00.0,7.423,1
52:00.0,7.423,1
53:00.0,7.426,1
54:00.0,7.416,1
55:00.0,7.423,1
56:00.0,7.423,1
57:00.0,7.422,1
58:00.0,7.422,1
59:00.0,7.424,1
00:00.0,7.424,1
01:00.0,7.423,1
02:00.0,7.417,1
03:00.0,7.424,1
04:00.0,7.423,1
05:00.0,7.422,1
06:00.0,7.424,1
07:00.0,7.422,1
08:00.0,7.427,1
09:00.0,7.425,1
10:00.0,7.421,1
11:00.0,7.41,1
12:00.0,7.291,1
13:00.0,7.098,1
14:00.0,6.848,1
15:00.0,6.564,1
16:00.0,6.334,1
17:00.0,6.167,1
18:00.0,6.034,1
19:00.0,5.911,1
20:00.0,5.824,1
21:00.0,5.766,1
22:00.0,5.739,1
23:00.0,5.744,1
24:00.0,5.775,1
25:00.0,5.84,1
26:00.0,5.935,1
27:00.0,6.066,1
28:00.0,6.192,1
29:00.0,6.376,1
