"Number","Coverage Start (UTCG)","Coverage End (UTCG)","Duration (sec)","Percent"
71,6 Jan 2025 00:34:54.293,6 Jan 2025 00:37:49.124,174.831,0.000554
72,6 Jan 2025 02:09:41.896,6 Jan 2025 02:12:37.220,175.325,0.000556
73,6 Jan 2025 03:44:27.723,6 Jan 2025 03:47:25.196,177.473,0.000563
74,6 Jan 2025 05:19:17.456,6 Jan 2025 05:22:13.046,175.589,0.000557
75,6 Jan 2025 06:53:56.786,6 Jan 2025 06:56:45.223,168.437,0.000534
76,6 Jan 2025 08:28:34.869,6 Jan 2025 08:31:38.146,183.277,0.000581
77,6 Jan 2025 10:03:22.420,6 Jan 2025 10:06:17.561,175.141,0.000555
78,6 Jan 2025 11:38:07.950,6 Jan 2025 11:41:05.587,177.637,0.000563
79,6 Jan 2025 13:12:57.878,6 Jan 2025 13:15:53.493,175.614,0.000557
80,6 Jan 2025 14:47:45.785,6 Jan 2025 14:50:25.506,159.720,0.000506
81,6 Jan 2025 16:22:15.468,6 Jan 2025 16:25:18.582,183.114,0.000581
82,6 Jan 2025 17:57:02.967,6 Jan 2025 17:59:57.880,174.913,0.000555
83,6 Jan 2025 19:31:48.277,6 Jan 2025 19:34:49.563,181.286,0.000575
84,6 Jan 2025 21:06:38.323,6 Jan 2025 21:09:33.916,175.593,0.000557
85,6 Jan 2025 22:41:26.178,6 Jan 2025 22:44:21.751,175.573,0.000557
86,7 Jan 2025 00:16:09.854,7 Jan 2025 00:18:58.986,169.132,0.000536
87,7 Jan 2025 01:50:43.536,7 Jan 2025 01:53:38.174,174.637,0.000554
88,7 Jan 2025 03:25:31.103,7 Jan 2025 03:28:30.019,178.916,0.000567
89,7 Jan 2025 05:00:18.789,7 Jan 2025 05:03:14.318,175.529,0.000557
90,7 Jan 2025 06:35:06.594,7 Jan 2025 06:38:02.206,175.612,0.000557
91,7 Jan 2025 08:09:50.345,7 Jan 2025 08:12:39.356,169.011,0.000536
92,7 Jan 2025 09:44:24.128,7 Jan 2025 09:47:18.441,174.313,0.000553
93,7 Jan 2025 11:19:11.643,7 Jan 2025 11:22:10.439,178.796,0.000567
94,7 Jan 2025 12:53:59.278,7 Jan 2025 12:56:54.694,175.416,0.000556
95,7 Jan 2025 14:28:47.031,7 Jan 2025 14:31:42.635,175.604,0.000557
96,7 Jan 2025 16:03:30.876,7 Jan 2025 16:06:19.702,168.827,0.000535
97,7 Jan 2025 16:06:27.155,7 Jan 2025 16:06:30.454,3.298,0.000010
98,7 Jan 2025 17:38:11.204,7 Jan 2025 17:40:59.641,168.437,0.000534
99,7 Jan 2025 19:12:52.205,7 Jan 2025 19:15:50.823,178.618,0.000566
100,7 Jan 2025 20:47:39.789,7 Jan 2025 20:50:35.052,175.264,0.000556
101,7 Jan 2025 22:22:27.491,7 Jan 2025 22:25:23.041,175.550,0.000557
102,7 Jan 2025 23:57:11.443,8 Jan 2025 00:00:10.916,179.473,0.000569
103,8 Jan 2025 01:31:51.535,8 Jan 2025 01:34:52.865,181.330,0.000575
104,8 Jan 2025 03:06:32.790,8 Jan 2025 03:09:31.182,178.392,0.000566
105,8 Jan 2025 04:41:20.321,8 Jan 2025 04:44:15.384,175.062,0.000555
106,8 Jan 2025 06:16:07.972,8 Jan 2025 06:19:03.426,175.454,0.000556
107,8 Jan 2025 07:50:52.054,8 Jan 2025 07:53:51.353,179.299,0.000569
108,8 Jan 2025 09:25:43.629,8 Jan 2025 09:28:33.320,169.691,0.000538
109,8 Jan 2025 11:00:13.397,8 Jan 2025 11:03:11.513,178.116,0.000565
110,8 Jan 2025 12:35:00.876,8 Jan 2025 12:37:55.691,174.815,0.000554
111,8 Jan 2025 14:09:48.476,8 Jan 2025 14:12:43.790,175.314,0.000556
112,8 Jan 2025 15:44:34.221,8 Jan 2025 15:47:31.765,177.544,0.000563
113,8 Jan 2025 17:19:24.031,8 Jan 2025 17:22:19.622,175.591,0.000557
114,8 Jan 2025 18:54:03.395,8 Jan 2025 18:56:51.818,168.423,0.000534
115,8 Jan 2025 20:28:41.453,8 Jan 2025 20:31:44.749,183.296,0.000581
116,8 Jan 2025 22:03:29.002,8 Jan 2025 22:06:24.130,175.128,0.000555
117,8 Jan 2025 23:38:14.459,8 Jan 2025 23:41:12.160,177.701,0.000563
118,9 Jan 2025 01:13:04.454,9 Jan 2025 01:16:00.067,175.613,0.000557
119,9 Jan 2025 02:47:44.028,9 Jan 2025 02:50:32.102,168.074,0.000533
120,9 Jan 2025 04:22:22.054,9 Jan 2025 04:25:25.184,183.130,0.000581
121,9 Jan 2025 05:57:09.549,9 Jan 2025 06:00:04.447,174.898,0.000555
122,9 Jan 2025 07:31:54.793,9 Jan 2025 07:34:56.167,181.374,0.000575
123,9 Jan 2025 09:06:44.900,9 Jan 2025 09:09:40.487,175.588,0.000557
124,9 Jan 2025 10:41:32.752,9 Jan 2025 10:44:12.360,159.608,0.000506
125,9 Jan 2025 10:44:26.094,9 Jan 2025 10:44:28.327,2.233,0.000007
126,9 Jan 2025 12:16:16.458,9 Jan 2025 12:19:05.587,169.129,0.000536
127,9 Jan 2025 13:50:50.120,9 Jan 2025 13:53:44.739,174.619,0.000554
128,9 Jan 2025 15:25:35.206,9 Jan 2025 15:28:36.621,181.415,0.000575
129,9 Jan 2025 17:00:25.367,9 Jan 2025 17:03:20.890,175.523,0.000557
130,9 Jan 2025 18:35:13.169,9 Jan 2025 18:38:08.778,175.609,0.000557
131,9 Jan 2025 20:09:56.950,9 Jan 2025 20:12:45.956,169.005,0.000536
132,9 Jan 2025 21:44:30.713,9 Jan 2025 21:47:25.005,174.292,0.000553
133,9 Jan 2025 23:19:18.225,9 Jan 2025 23:22:17.040,178.815,0.000567
134,10 Jan 2025 00:54:05.857,10 Jan 2025 00:57:01.265,175.408,0.000556
135,10 Jan 2025 02:28:53.608,10 Jan 2025 02:31:49.209,175.601,0.000557
136,10 Jan 2025 04:03:37.482,10 Jan 2025 04:06:26.301,168.818,0.000535
137,10 Jan 2025 05:38:11.328,10 Jan 2025 05:41:05.246,173.918,0.000551
138,10 Jan 2025 07:12:58.788,10 Jan 2025 07:15:57.423,178.635,0.000566
139,10 Jan 2025 08:47:46.369,10 Jan 2025 08:50:41.621,175.252,0.000556
140,10 Jan 2025 10:22:34.068,10 Jan 2025 10:25:29.613,175.545,0.000557
141,10 Jan 2025 11:57:18.052,10 Jan 2025 12:00:17.488,179.436,0.000569
142,10 Jan 2025 13:31:58.052,10 Jan 2025 13:34:46.969,168.918,0.000536
143,10 Jan 2025 15:06:39.374,10 Jan 2025 15:09:37.781,178.407,0.000566
144,10 Jan 2025 16:41:26.903,10 Jan 2025 16:44:21.951,175.048,0.000555
145,10 Jan 2025 18:16:14.551,10 Jan 2025 18:19:09.998,175.447,0.000556
146,10 Jan 2025 19:50:58.663,10 Jan 2025 19:53:57.927,179.263,0.000568
147,10 Jan 2025 21:25:38.468,10 Jan 2025 21:28:39.922,181.455,0.000575
148,10 Jan 2025 23:00:19.982,10 Jan 2025 23:03:18.111,178.129,0.000565
149,11 Jan 2025 00:35:07.459,11 Jan 2025 00:38:02.257,174.798,0.000554
150,11 Jan 2025 02:09:55.056,11 Jan 2025 02:12:50.359,175.303,0.000556
151,11 Jan 2025 03:44:39.320,11 Jan 2025 03:47:38.339,179.020,0.000568
152,11 Jan 2025 05:19:30.605,11 Jan 2025 05:22:20.340,169.735,0.000538
153,11 Jan 2025 05:22:23.241,11 Jan 2025 05:22:26.195,2.954,0.000009
154,11 Jan 2025 06:54:10.004,11 Jan 2025 06:56:58.415,168.411,0.000534
155,11 Jan 2025 08:28:48.037,11 Jan 2025 08:31:51.352,183.315,0.000581
156,11 Jan 2025 10:03:35.583,11 Jan 2025 10:06:30.698,175.115,0.000555
157,11 Jan 2025 11:38:20.968,11 Jan 2025 11:41:18.731,177.763,0.000564
158,11 Jan 2025 13:13:11.029,11 Jan 2025 13:16:06.642,175.612,0.000557
159,11 Jan 2025 14:47:50.638,11 Jan 2025 14:50:38.698,168.059,0.000533
160,11 Jan 2025 16:22:28.639,11 Jan 2025 16:25:31.786,183.147,0.000581
161,11 Jan 2025 17:57:16.132,11 Jan 2025 18:00:11.014,174.882,0.000555
162,11 Jan 2025 19:32:01.310,11 Jan 2025 19:34:59.098,177.788,0.000564
163,11 Jan 2025 21:06:51.476,11 Jan 2025 21:09:47.061,175.584,0.000557
164,11 Jan 2025 22:41:39.326,11 Jan 2025 22:44:18.955,159.629,0.000506
165,12 Jan 2025 00:16:09.263,12 Jan 2025 00:19:12.187,182.925,0.000580
166,12 Jan 2025 01:50:56.703,12 Jan 2025 01:53:51.304,174.601,0.000554
167,12 Jan 2025 03:25:41.729,12 Jan 2025 03:28:43.223,181.494,0.000576
168,12 Jan 2025 05:00:31.945,12 Jan 2025 05:03:27.459,175.514,0.000557
169,12 Jan 2025 06:35:19.744,12 Jan 2025 06:38:15.356,175.612,0.000557
170,12 Jan 2025 08:10:03.555,12 Jan 2025 08:12:52.555,168.999,0.000536
171,12 Jan 2025 09:44:37.297,12 Jan 2025 09:47:31.569,174.272,0.000553
172,12 Jan 2025 11:19:22.207,12 Jan 2025 11:22:23.640,181.433,0.000575
173,12 Jan 2025 12:54:12.436,12 Jan 2025 12:57:07.835,175.399,0.000556
174,12 Jan 2025 14:29:00.183,12 Jan 2025 14:31:55.780,175.597,0.000557
