"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 23:59:07.347,0.000,0.437510,-153.496,-139.220884,20.000000,95.103009,19.200,52.2700,55.2803,1.000000e-30
1 Jan 2025 23:59:59.993,0.000,0.437509,-152.257,-137.981433,20.000000,96.342460,19.200,53.5094,56.5197,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 23:59:59.993,0.000,0.437509,-152.257,-137.981433,20.000000,96.342460,19.200,53.5094,56.5197,1.000000e-30
2 Jan 2025 00:00:59.000,0.000,0.437509,-150.698,-136.422985,20.000000,97.900908,19.200,55.0679,58.0782,1.000000e-30
2 Jan 2025 00:01:59.000,0.000,0.437508,-148.956,-134.681000,20.000000,99.642893,19.200,56.8099,59.8202,1.000000e-30
2 Jan 2025 00:02:59.000,0.000,0.437506,-147.232,-132.956432,20.000000,101.367461,19.200,58.5344,61.5447,1.000000e-30
2 Jan 2025 00:03:59.000,0.000,0.437502,-146.048,-131.772603,20.000000,102.551290,19.200,59.7183,62.7286,1.000000e-30
2 Jan 2025 00:04:59.000,0.000,0.437498,-146.113,-131.837903,20.000000,102.485991,19.200,59.6530,62.6633,1.000000e-30
2 Jan 2025 00:05:59.000,0.000,0.437494,-147.380,-133.104492,20.000000,101.219401,19.200,58.3864,61.3967,1.000000e-30
2 Jan 2025 00:06:59.000,0.000,0.437492,-149.123,-134.847264,20.000000,99.476629,19.200,56.6436,59.6539,1.000000e-30
2 Jan 2025 00:07:59.000,0.000,0.437491,-150.855,-136.580021,20.000000,97.743872,19.200,54.9109,57.9212,1.000000e-30
2 Jan 2025 00:08:59.000,0.000,0.437491,-152.423,-138.147781,20.000000,96.176113,19.200,53.3431,56.3534,1.000000e-30
2 Jan 2025 00:09:50.352,0.000,0.437490,-153.618,-139.343204,20.000000,94.980689,19.200,52.1477,55.1580,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2025 01:33:01.603,0.000,0.437509,-153.484,-139.208396,20.000000,95.115497,19.200,52.2825,55.2928,1.000000e-30
2 Jan 2025 01:34:01.000,0.000,0.437509,-152.161,-137.885511,20.000000,96.438382,19.200,53.6054,56.6157,1.000000e-30
2 Jan 2025 01:35:01.000,0.000,0.437508,-150.707,-136.431374,20.000000,97.892519,19.200,55.0595,58.0698,1.000000e-30
2 Jan 2025 01:36:01.000,0.000,0.437506,-149.216,-134.940848,20.000000,99.383046,19.200,56.5500,59.5603,1.000000e-30
2 Jan 2025 01:37:01.000,0.000,0.437504,-147.927,-133.651955,20.000000,100.671938,19.200,57.8389,60.8492,1.000000e-30
2 Jan 2025 01:38:01.000,0.000,0.437501,-147.278,-133.002560,20.000000,101.321333,19.200,58.4883,61.4986,1.000000e-30
2 Jan 2025 01:39:01.000,0.000,0.437497,-147.608,-133.332793,20.000000,100.991101,19.200,58.1581,61.1684,1.000000e-30
