"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 18:06:26.276,0.000,0.437510,-153.615,-139.339742,20.000000,94.984151,19.200,52.1511,55.1614,1.000000e-30
1 Jan 2025 18:07:26.000,0.000,0.437510,-152.123,-137.848111,20.000000,96.475782,19.200,53.6428,56.6531,1.000000e-30
1 Jan 2025 18:08:26.000,0.000,0.437510,-150.345,-136.070219,20.000000,98.253674,19.200,55.4207,58.4310,1.000000e-30
1 Jan 2025 18:09:26.000,0.000,0.437509,-148.205,-133.929786,20.000000,100.394107,19.200,57.5611,60.5714,1.000000e-30
1 Jan 2025 18:10:26.000,0.000,0.437508,-145.665,-131.389824,20.000000,102.934069,19.200,60.1011,63.1114,1.000000e-30
1 Jan 2025 18:11:26.000,0.000,0.437505,-143.129,-128.853522,20.000000,105.470371,19.200,62.6374,65.6477,1.000000e-30
1 Jan 2025 18:12:26.000,0.000,0.437498,-142.386,-128.110917,20.000000,106.212976,19.200,63.3800,66.3903,1.000000e-30
1 Jan 2025 18:13:26.000,0.000,0.437493,-144.344,-130.069059,20.000000,104.254834,19.200,61.4218,64.4321,1.000000e-30
1 Jan 2025 18:14:26.000,0.000,0.437491,-147.001,-132.725415,20.000000,101.598478,19.200,58.7655,61.7758,1.000000e-30
1 Jan 2025 18:15:26.000,0.000,0.437490,-149.347,-135.071571,20.000000,99.252322,19.200,56.4193,59.4296,1.000000e-30
1 Jan 2025 18:16:26.000,0.000,0.437490,-151.296,-137.020721,20.000000,97.303172,19.200,54.4702,57.4805,1.000000e-30
1 Jan 2025 18:17:26.000,0.000,0.437490,-152.925,-138.650030,20.000000,95.673864,19.200,52.8409,55.8512,1.000000e-30
1 Jan 2025 18:17:48.898,0.000,0.437490,-153.479,-139.204072,20.000000,95.119821,19.200,52.2868,55.2971,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 19:40:56.508,0.000,0.437508,-153.617,-139.341522,20.000000,94.982371,19.200,52.1494,55.1597,1.000000e-30
1 Jan 2025 19:41:56.000,0.000,0.437507,-152.477,-138.201877,20.000000,96.122016,19.200,53.2890,56.2993,1.000000e-30
1 Jan 2025 19:42:56.000,0.000,0.437506,-151.338,-137.062416,20.000000,97.261478,19.200,54.4285,57.4388,1.000000e-30
1 Jan 2025 19:43:56.000,0.000,0.437504,-150.342,-136.066484,20.000000,98.257409,19.200,55.4244,58.4347,1.000000e-30
1 Jan 2025 19:44:56.000,0.000,0.437502,-149.701,-135.426098,20.000000,98.897795,19.200,56.0648,59.0751,1.000000e-30
1 Jan 2025 19:45:56.000,0.000,0.437499,-149.620,-135.345089,20.000000,98.978804,19.200,56.1458,59.1561,1.000000e-30
1 Jan 2025 19:46:56.000,0.000,0.437496,-150.129,-135.853332,20.000000,98.470561,19.200,55.6375,58.6478,1.000000e-30
1 Jan 2025 19:47:56.000,0.000,0.437494,-151.052,-136.776966,20.000000,97.546927,19.200,54.7139,57.7242,1.000000e-30
1 Jan 2025 19:48:56.000,0.000,0.437493,-152.168,-137.892574,20.000000,96.431319,19.200,53.5983,56.6086,1.000000e-30
1 Jan 2025 19:49:56.000,0.000,0.437492,-153.320,-139.044569,20.000000,95.279324,19.200,52.4463,55.4566,1.000000e-30
1 Jan 2025 19:50:06.323,0.000,0.437492,-153.515,-139.239803,20.000000,95.084090,19.200,52.2511,55.2614,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2025 17:47:54.831,0.000,0.437510,-153.612,-139.336653,20.000000,94.987240,19.200,52.1542,55.1645,1.000000e-30
2 Jan 2025 17:48:54.000,0.000,0.437509,-152.235,-137.959552,20.000000,96.364341,19.200,53.5313,56.5416,1.000000e-30
2 Jan 2025 17:49:54.000,0.000,0.437509,-150.652,-136.376555,20.000000,97.947338,19.200,55.1143,58.1246,1.000000e-30
2 Jan 2025 17:50:54.000,0.000,0.437508,-148.900,-134.624477,20.000000,99.699417,19.200,56.8664,59.8767,1.000000e-30
2 Jan 2025 17:51:54.000,0.000,0.437506,-147.140,-132.865026,20.000000,101.458867,19.200,58.6259,61.6362,1.000000e-30
2 Jan 2025 17:52:54.000,0.000,0.437502,-145.884,-131.608461,20.000000,102.715432,19.200,59.8824,62.8927,1.000000e-30
2 Jan 2025 17:53:54.000,0.000,0.437498,-145.875,-131.599656,20.000000,102.724237,19.200,59.8912,62.9015,1.000000e-30
2 Jan 2025 17:54:54.000,0.000,0.437494,-147.122,-132.846738,20.000000,101.477156,19.200,58.6441,61.6544,1.000000e-30
2 Jan 2025 17:55:54.000,0.000,0.437492,-148.883,-134.607501,20.000000,99.716392,19.200,56.8834,59.8937,1.000000e-30
2 Jan 2025 17:56:54.000,0.000,0.437491,-150.641,-136.365359,20.000000,97.958534,19.200,55.1255,58.1358,1.000000e-30
2 Jan 2025 17:57:54.000,0.000,0.437491,-152.230,-137.955076,20.000000,96.368817,19.200,53.5358,56.5461,1.000000e-30
2 Jan 2025 17:58:47.154,0.000,0.437490,-153.481,-139.205902,20.000000,95.117991,19.200,52.2850,55.2953,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2025 19:21:50.914,0.000,0.437509,-153.618,-139.342854,20.000000,94.981039,19.200,52.1480,55.1583,1.000000e-30
2 Jan 2025 19:22:50.000,0.000,0.437509,-152.305,-138.029542,20.000000,96.294351,19.200,53.4613,56.4716,1.000000e-30
2 Jan 2025 19:23:50.000,0.000,0.437508,-150.852,-136.576414,20.000000,97.747479,19.200,54.9145,57.9248,1.000000e-30
