"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 17:40:57.129,0.000,0.437509,-153.508,-139.232316,20.000000,95.091577,19.200,52.2586,55.2689,1.000000e-30
1 Jan 2025 17:41:57.000,0.000,0.437508,-152.248,-137.973098,20.000000,96.350795,19.200,53.5178,56.5281,1.000000e-30
1 Jan 2025 17:42:57.000,0.000,0.437507,-150.931,-136.655657,20.000000,97.668237,19.200,54.8352,57.8455,1.000000e-30
1 Jan 2025 17:43:57.000,0.000,0.437505,-149.679,-135.403851,20.000000,98.920042,19.200,56.0870,59.0973,1.000000e-30
1 Jan 2025 17:44:57.000,0.000,0.437503,-148.744,-134.468782,20.000000,99.855111,19.200,57.0221,60.0324,1.000000e-30
1 Jan 2025 17:45:57.000,0.000,0.437500,-148.453,-134.177402,20.000000,100.146491,19.200,57.3135,60.3238,1.000000e-30
1 Jan 2025 17:46:57.000,0.000,0.437496,-148.939,-134.664188,20.000000,99.659705,19.200,56.8267,59.8370,1.000000e-30
1 Jan 2025 17:47:57.000,0.000,0.437494,-149.990,-135.715074,20.000000,98.608820,19.200,55.7758,58.7861,1.000000e-30
1 Jan 2025 17:48:57.000,0.000,0.437493,-151.280,-137.004659,20.000000,97.319234,19.200,54.4862,57.4965,1.000000e-30
1 Jan 2025 17:49:57.000,0.000,0.437492,-152.593,-138.317688,20.000000,96.006205,19.200,53.1732,56.1835,1.000000e-30
1 Jan 2025 17:50:46.190,0.000,0.437491,-153.618,-139.342375,20.000000,94.981518,19.200,52.1485,55.1588,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 19:13:48.862,0.000,0.437510,-153.480,-139.204682,20.000000,95.119211,19.200,52.2862,55.2965,1.000000e-30
1 Jan 2025 19:14:48.000,0.000,0.437510,-152.024,-137.748410,20.000000,96.575483,19.200,53.7425,56.7528,1.000000e-30
1 Jan 2025 19:15:48.000,0.000,0.437509,-150.308,-136.032624,20.000000,98.291269,19.200,55.4583,58.4686,1.000000e-30
1 Jan 2025 19:16:48.000,0.000,0.437508,-148.328,-134.052823,20.000000,100.271070,19.200,57.4381,60.4484,1.000000e-30
1 Jan 2025 19:17:48.000,0.000,0.437506,-146.193,-131.917573,20.000000,102.406320,19.200,59.5733,62.5836,1.000000e-30
1 Jan 2025 19:18:48.000,0.000,0.437503,-144.497,-130.221759,20.000000,104.102134,19.200,61.2691,64.2794,1.000000e-30
1 Jan 2025 19:19:48.000,0.000,0.437498,-144.430,-130.154433,20.000000,104.169460,19.200,61.3364,64.3467,1.000000e-30
1 Jan 2025 19:20:48.000,0.000,0.437494,-146.054,-131.778371,20.000000,102.545522,19.200,59.7125,62.7228,1.000000e-30
1 Jan 2025 19:21:48.000,0.000,0.437492,-148.183,-133.908022,20.000000,100.415871,19.200,57.5829,60.5932,1.000000e-30
1 Jan 2025 19:22:48.000,0.000,0.437491,-150.176,-135.900590,20.000000,98.423303,19.200,55.5903,58.6006,1.000000e-30
1 Jan 2025 19:23:48.000,0.000,0.437490,-151.905,-137.629983,20.000000,96.693910,19.200,53.8609,56.8712,1.000000e-30
1 Jan 2025 19:24:48.000,0.000,0.437490,-153.392,-139.116912,20.000000,95.206981,19.200,52.3740,55.3843,1.000000e-30
