                                                                                                                                                                                                     25 Apr 2023 14:23:33
CoverageDefinition-NorthCusp



Spliced coverage by Pass for Region: 1
--------------------------------------

Access       Access Start (UTCG)          Access End (UTCG)       Duration (sec)     Asset Name    Asset Full Name    Region Name    % Coverage    Area Coverage (km^2)    % Accum Coverage    Accum Area Coverage (km^2)
    38    10 Jan 2025 08:46:25.708    10 Jan 2025 09:02:41.529           975.821    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
    39    10 Jan 2025 10:20:40.684    10 Jan 2025 10:37:26.224          1005.540    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    40    10 Jan 2025 11:55:14.756    10 Jan 2025 12:12:10.726          1015.970    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
    41    10 Jan 2025 13:29:57.768    10 Jan 2025 13:45:45.124           947.356    Satellite12    Satellite12        1               18.767497           828949.461054          100.000000                4416941.971327
    42    11 Jan 2025 06:53:38.620    11 Jan 2025 07:06:21.015           762.395    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
    43    11 Jan 2025 08:27:35.873    11 Jan 2025 08:43:41.737           965.864    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
    44    11 Jan 2025 10:01:53.328    11 Jan 2025 10:18:32.129           998.801    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    45    11 Jan 2025 11:36:18.902    11 Jan 2025 11:53:16.410          1017.509    Satellite12    Satellite12        1               72.800242          3215544.433872          100.000000                4416941.971327
    46    11 Jan 2025 13:11:11.189    11 Jan 2025 13:27:15.425           964.236    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
    47    12 Jan 2025 08:08:45.526    12 Jan 2025 08:24:35.048           949.523    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
    48    12 Jan 2025 09:43:05.478    12 Jan 2025 09:59:37.765           992.286    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
    49    12 Jan 2025 11:17:32.339    12 Jan 2025 11:34:21.824          1009.485    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
    50    12 Jan 2025 12:52:15.421    12 Jan 2025 13:08:40.712           985.291    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
    51    13 Jan 2025 07:49:54.653    13 Jan 2025 08:05:20.688           926.035    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
    52    13 Jan 2025 09:24:17.136    13 Jan 2025 09:40:43.140           986.004    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
    53    13 Jan 2025 10:58:36.567    13 Jan 2025 11:15:26.975          1010.407    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
    54    13 Jan 2025 12:33:19.631    13 Jan 2025 12:50:00.756          1001.126    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
    55    14 Jan 2025 07:31:03.229    14 Jan 2025 07:45:57.496           894.267    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
    56    14 Jan 2025 09:05:28.302    14 Jan 2025 09:21:48.480           980.178    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
    57    14 Jan 2025 10:39:40.774    14 Jan 2025 10:56:33.395          1012.621    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    58    14 Jan 2025 12:14:23.819    14 Jan 2025 12:31:15.304          1011.485    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
    59    14 Jan 2025 13:49:06.848    14 Jan 2025 13:57:43.906           517.058    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
    60    15 Jan 2025 07:12:11.231    15 Jan 2025 07:26:23.554           852.324    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
    61    15 Jan 2025 08:46:38.973    15 Jan 2025 09:02:54.876           975.903    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
    62    15 Jan 2025 10:20:53.920    15 Jan 2025 10:37:39.558          1005.638    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    63    15 Jan 2025 11:55:27.985    15 Jan 2025 12:12:24.048          1016.063    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
    64    15 Jan 2025 13:30:10.996    15 Jan 2025 13:45:58.127           947.131    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
    65    16 Jan 2025 06:55:27.959    16 Jan 2025 07:06:35.090           667.131    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
    66    16 Jan 2025 08:27:49.143    16 Jan 2025 08:43:55.162           966.019    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
    67    16 Jan 2025 10:02:06.570    16 Jan 2025 10:18:45.448           998.878    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
    68    16 Jan 2025 11:36:32.129    16 Jan 2025 11:53:29.717          1017.588    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
    69    16 Jan 2025 13:11:15.121    16 Jan 2025 13:27:28.485           973.364    Satellite12    Satellite12        1               24.634229          1088079.590519          100.000000                4416941.971327
    70    17 Jan 2025 08:08:58.802    17 Jan 2025 08:24:48.558           949.757    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
    71    17 Jan 2025 09:43:18.725    17 Jan 2025 09:59:51.070           992.345    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
    72    17 Jan 2025 11:17:36.251    17 Jan 2025 11:34:35.115          1018.864    Satellite12    Satellite12        1               80.189784          3541936.241256          100.000000                4416941.971327
    73    17 Jan 2025 12:52:28.652    17 Jan 2025 13:08:53.832           985.180    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
    74    18 Jan 2025 07:50:07.935    18 Jan 2025 08:05:34.294           926.359    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
    75    18 Jan 2025 09:24:30.389    18 Jan 2025 09:40:56.429           986.040    Satellite12    Satellite12        1               86.476882          3819633.710955          100.000000                4416941.971327
