"I (deg)"
-19.703
-11.178
-2.376
6.430
14.979
23.056
30.517
37.288
43.355
48.744
53.506
57.706
61.415
64.701
67.628
70.254
72.631
74.808
76.830
78.739
80.573
82.365
84.136
85.900
87.632
88.937
87.967
86.022
83.847
81.503
79.004
76.368
73.619
70.782
67.876
64.913
61.886
58.772
55.526
52.087
48.376
44.303
39.777
34.708
29.033
22.725
15.818
8.412
0.681
-7.157
-14.872
-22.259
-29.171
-35.523
-41.285
-46.469
-51.111
-55.268
-59.000
-62.371
-65.444
-68.272
-70.897
-73.340
-75.595
-77.612
-79.282
-80.424
-80.829
-80.398
-79.239
-77.580
-75.633
-73.554
-71.453
-69.408
-67.484
-65.740
-64.232
-63.015
-62.135
-61.624
-61.488
-61.693
-62.156
-62.740
-63.259
-63.487
-63.189
-62.155
-60.229
-57.317
-53.380
-48.416
-42.452
-35.539
-27.767
-19.286
-10.313
-1.127
7.965
16.686
24.823
32.256
38.939
44.888
50.154
54.807
58.921
62.571
65.824
68.743
71.385
73.803
76.045
78.157
80.177
82.141
84.077
86.009
87.931
89.268
87.635
85.433
83.061
80.536
77.870
75.075
72.174
69.183
66.117
62.974
59.741
56.382
52.847
49.069
44.971
40.471
35.489
29.961
23.851
17.166
9.975
2.409
-5.344
-13.071
-20.570
-27.676
-34.283
-40.338
-45.834
-50.793
-55.261
-59.291
-62.945
-66.283
-69.363
-72.239
-74.952
-77.527
-79.953
-82.149
-83.877
-84.639
-84.025
-82.352
-80.162
-77.765
-75.311
-72.887
-70.550
-68.350
-66.337
-64.564
-63.091
-61.973
-61.253
-60.943
-61.001
-61.325
-61.756
-62.102
-62.179
-61.831
-60.946
-59.448
-57.277
-54.380
-50.699
-46.179
-40.779
-34.486
-27.333
-19.422
-10.933
-2.119
6.726
15.314
23.413
30.876
37.638
43.697
49.098
53.905
58.190
62.024
65.473
68.594
71.435
74.040
76.442
78.672
80.760
82.733
84.627
86.476
88.296
89.367
87.623
85.531
83.284
80.889
78.351
75.677
72.874
69.944
66.877
63.657
60.251
56.616
52.698
48.433
43.757
38.606
32.928
26.697
19.925
12.674
5.066
-2.729
-10.516
-18.106
-25.342
-32.120
-38.384
-44.122
-49.349
-54.103
-58.431
-62.386
-66.025
-69.404
-72.574
-75.587
-78.484
-81.301
-84.064
-86.775
-89.178
-87.601
-84.974
-82.344
-79.759
-77.239
-74.801
-72.458
-70.223
-68.109
-66.135
-64.326
-62.711
-61.320
-60.168
-59.240
-58.481
-57.794
-57.050
-56.111
-54.862
-53.213
-51.104
-48.487
-45.316
-41.538
-37.102
-31.965
-26.114
-19.585
-12.470
-4.928
2.832
10.583
18.108
25.238
31.867
37.947
43.481
48.503
53.063
57.217
61.016
64.506
67.723
70.694
73.439
75.969
78.293
80.417
82.353
84.121
85.753
87.288
88.747
89.356
87.932
86.243
84.404
82.415
80.275
77.984
75.540
72.933
70.146
67.152
63.915
60.389
56.521
52.250
47.512
42.245
36.396
29.932
22.864
15.254
7.235
-1.006
-9.245
-17.266
-24.896
-32.021
-38.586
-44.587
-50.046
-55.005
-59.513
-63.621
-67.380
-70.835
-74.023
-76.966
-79.660
-82.044
-83.941
-84.959
-84.714
-83.447
-81.692
-79.765
-77.805
-75.872
-73.984
-72.138
-70.318
-68.501
-66.669
-64.809
-62.920
-61.009
-59.085
-57.147
-55.179
-53.139
-50.963
-48.567
-45.857
-42.739
-39.126
-34.951
-30.169
-24.773
-18.799
-12.334
-5.514
1.489
8.491
15.317
21.830
27.939
33.601
38.813
43.601
48.007
52.079
55.863
59.398
62.716
65.838
68.778
71.544
74.137
76.554
78.785
80.822
82.656
84.285
85.716
86.972
88.080
89.023
89.258
88.395
87.241
85.916
84.419
82.736
80.857
78.772
76.468
73.927
71.128
68.041
64.630
60.847
56.637
51.937
46.679
40.800
34.250
27.013
19.126
10.699
1.923
-6.951
-15.655
-23.952
-31.675
-38.736
-45.108
-50.806
-55.870
-60.346
-64.279
-67.710
-70.665
-73.158
-75.183
-76.721
-77.751
-78.271
-78.321
-77.985
-77.370
-76.579
-75.694
-74.766
-73.818
-72.841
-71.807
-70.672
-69.392
-67.934
-66.282
-64.445
-62.445
-60.316
-58.085
-55.766
-53.351
-50.800
-48.048
-45.005
-41.572
-37.655
-33.178
-28.097
-22.413
-16.179
-9.502
-2.533
4.547
11.554
18.329
24.755
30.759
36.313
41.419
46.099
50.387
54.321
57.943
61.289
64.398
67.300
70.021
72.577
74.976
77.217
79.291
81.183
82.881
84.379
85.680
86.802
87.765
88.571
89.061
88.791
87.955
86.855
85.539
84.002
82.232
80.221
77.963
75.449
72.667
69.599
66.216
62.480
58.340
53.736
48.599
42.861
36.459
29.359
21.571
13.177
4.348
-4.671
-13.594
-22.149
-30.126
-37.391
-43.882
-49.586
-54.520
-58.708
-62.183
-64.980
-67.145
-68.737
-69.835
-70.533
-70.930
-71.120
-71.185
-71.193
-71.193
-71.217
-71.276
-71.364
-71.450
-71.483
-71.399
-71.131
-70.622
-69.841
-68.790
-67.498
-66.011
-64.375
-62.624
-60.768
-58.790
-56.645
-54.271
-51.588
-48.520
-44.995
-40.953
-36.350
-31.164
-25.400
-19.095
-12.329
-5.226
2.052
9.325
16.417
23.179
29.504
35.331
40.637
45.434
