Angle (deg),
36.598,
34.499,
32.382,
30.242,
28.076,
25.879,
23.644,
21.365,
19.03,
16.626,
14.135,
11.531,
8.778,
5.822,
2.582,
-1.077,
-5.38,
-10.747,
-18.023,
-29.08,
-47.912,
-70.492,
-50.402,
-30.595,
-19.014,
-11.485,
-5.984,
-1.603,
2.103,
5.376,
8.354,
11.122,
13.737,
16.235,
18.645,
20.984,
23.266,
25.502,
27.7,
29.866,
32.006,
34.123,
36.221,
38.302,
40.369,
42.423,
44.465,
46.498,
48.523,
50.54,
52.55,
54.553,
56.552,
58.545,
60.535,
62.52,
64.502,
66.48,
68.456,
70.43,
72.401,
74.37,
76.337,
78.302,
80.266,
82.228,
84.188,
86.143,
88.084,
89.592,
87.912,
85.969,
84.013,
82.054,
80.093,
78.131,
76.167,
74.201,
72.234,
70.266,
68.295,
66.322,
64.346,
62.367,
60.385,
58.4,
56.41,
54.416,
52.416,
50.411,
48.399,
46.379,
44.352,
42.314,
40.266,
38.206,
36.131,
34.039,
31.929,
29.796,
27.637,
25.446,
23.218,
20.944,
18.614,
16.214,
13.725,
11.121,
8.365,
5.403,
2.152,
-1.524,
-5.848,
-11.23,
-18.452,
-29.031,
-44.72,
-55.472,
-42.018,
-27.153,
-17.271,
-10.43,
-5.263,
-1.068,
2.523,
5.718,
8.638,
11.362,
13.941,
16.409,
18.792,
21.107,
23.367,
25.582,
27.761,
29.908,
32.029,
34.128,
36.208,
38.271,
40.32,
42.356,
44.38,
46.395,
48.4,
50.398,
52.388,
54.371,
56.348,
58.32,
60.285,
62.246,
64.201,
66.151,
68.095,
70.034,
71.965,
73.888,
75.801,
77.698,
79.575,
81.417,
83.198,
84.855,
86.223,
86.894,
86.449,
85.189,
83.576,
81.816,
79.986,
78.118,
76.228,
74.322,
72.405,
70.48,
68.548,
66.611,
64.668,
62.721,
60.769,
58.813,
56.851,
54.885,
52.913,
50.936,
48.952,
46.961,
44.962,
42.954,
40.937,
38.908,
36.867,
34.811,
32.739,
30.647,
28.533,
26.392,
24.22,
22.009,
19.754,
17.442,
15.06,
12.591,
10.009,
7.282,
4.36,
1.174,
-2.376,
-6.429,
-11.16,
-16.668,
-22.498,
-26.561,
-25.861,
-21.037,
-15.209,
-9.926,
-5.41,
-1.52,
1.91,
5.009,
7.865,
10.542,
13.083,
15.519,
17.872,
20.159,
22.393,
24.582,
26.735,
28.857,
30.953,
33.027,
35.081,
37.118,
39.14,
41.15,
43.147,
45.133,
47.11,
49.077,
51.036,
52.987,
54.931,
56.866,
58.794,
60.714,
62.626,
64.529,
66.421,
68.302,
70.169,
72.018,
73.845,
75.641,
77.395,
79.088,
80.687,
82.134,
83.333,
84.128,
84.348,
83.93,
82.987,
81.697,
80.195,
78.565,
76.853,
75.087,
73.285,
71.456,
69.606,
67.742,
65.864,
63.976,
62.08,
60.175,
58.263,
56.344,
54.418,
52.485,
50.546,
48.6,
46.646,
44.684,
42.714,
40.734,
38.743,
36.741,
34.726,
32.696,
30.649,
28.582,
26.492,
24.375,
22.227,
20.041,
17.81,
15.524,
13.171,
10.735,
8.196,
5.529,
2.704,
-0.31,
-3.533,
-6.936,
-10.349,
-13.315,
-15.035,
-14.81,
-12.748,
-9.64,
-6.22,
-2.864,
0.299,
3.257,
6.034,
8.661,
11.166,
13.574,
15.902,
18.166,
20.377,
22.545,
24.675,
26.774,
28.847,
30.897,
32.927,
34.94,
36.937,
38.921,
40.892,
42.852,
44.801,
46.74,
48.67,
50.591,
52.503,
54.406,
56.3,
58.185,
60.059,
61.923,
63.774,
65.61,
67.43,
69.229,
71.003,
72.744,
74.442,
76.082,
77.643,
79.09,
80.373,
81.418,
82.131,
82.417,
82.231,
81.603,
80.621,
79.384,
77.969,
76.432,
74.809,
73.125,
71.397,
69.634,
67.845,
66.035,
64.208,
62.367,
60.514,
58.65,
56.776,
54.894,
53.003,
51.104,
49.197,
47.282,
45.359,
43.427,
41.487,
39.536,
37.575,
35.602,
33.616,
31.616,
29.599,
27.563,
25.506,
23.424,
21.313,
19.168,
16.983,
14.749,
12.459,
10.102,
7.665,
5.139,
2.517,
-0.194,
-2.948,
-5.624,
-7.974,
-9.602,
-10.1,
-9.316,
-7.486,
-5.037,
-2.333,
0.411,
3.097,
5.692,
8.191,
10.603,
12.939,
15.21,
17.426,
19.597,
21.728,
23.826,
25.896,
27.941,
29.965,
31.971,
33.96,
35.935,
37.896,
39.845,
41.784,
43.712,
45.63,
47.539,
49.439,
51.33,
53.212,
55.085,
56.948,
58.8,
60.64,
62.468,
64.28,
66.075,
67.849,
69.596,
71.311,
72.984,
74.602,
76.146,
77.591,
78.895,
80.007,
80.854,
81.361,
81.464,
81.152,
80.463,
79.473,
78.256,
76.876,
75.377,
73.794,
72.147,
70.453,
68.721,
66.961,
65.178,
63.376,
61.558,
59.725,
57.881,
56.026,
54.16,
52.286,
50.402,
48.51,
46.609,
44.699,
42.78,
40.851,
38.912,
36.962,
35,
33.025,
31.034,
29.028,
27.002,
24.954,
22.882,
20.78,
18.645,
16.47,
14.249,
11.973,
9.634,
7.221,
4.73,
2.16,
-0.466,
-3.082,
-5.543,
-7.58,
-8.83,
-8.977,
-7.981,
-6.104,
-3.717,
-1.12,
1.514,
4.102,
6.616,
9.049,
11.407,
13.7,
15.935,
18.123,
20.269,
22.379,
24.46,
26.516,
28.548,
30.562,
32.558,
34.539,
36.507,
38.462,
40.406,
42.34,
44.265,
46.18,
48.087,
49.985,
51.875,
53.756,
55.628,
57.491,
59.344,
61.185,
63.014,
64.828,
66.624,
68.4,
70.149,
71.865,
73.538,
75.154,
76.693,
78.125,
79.408,
80.481,
81.266,
81.682,
81.674,
81.241,
80.443,
79.36,
78.069,
76.63,
75.086,
73.465,
71.788,
70.068,
68.314,
66.535,
64.734,
62.915,
61.081,
59.235,
57.376,
55.507,
53.628,
51.74,
49.843,
47.937,
46.021,
44.096,
42.162,
40.216,
