Time (UTCG),Lat (deg),Lon (deg),Alt (km),Lat Rate (deg/sec),Lon Rate (deg/sec),Alt Rate (km/sec)
24:00.0,-45.868,14.596,589.837535,0.062029,-0.01291,-0.023146
25:00.0,-42.144,13.854,588.449705,0.062113,-0.011885,-0.023049
26:00.0,-38.415,13.165,587.07946,0.06219,-0.011085,-0.02256
27:00.0,-34.681,12.52,585.750177,0.062259,-0.010454,-0.021686
28:00.0,-30.944,11.908,584.484568,0.062322,-0.009951,-0.020441
29:00.0,-27.203,11.324,583.304295,0.062378,-0.009551,-0.018845
30:00.0,-23.459,10.761,582.22959,0.062428,-0.009231,-0.016927
31:00.0,-19.712,10.215,581.2789,0.062471,-0.008979,-0.014717
32:00.0,-15.962,9.682,580.468567,0.062507,-0.008783,-0.012255
33:00.0,-12.211,9.16,579.812533,0.062536,-0.008636,-0.009581
34:00.0,-8.458,8.645,579.322096,0.062557,-0.008532,-0.006743
35:00.0,-4.704,8.135,579.005709,0.062571,-0.008467,-0.003788
36:00.0,-0.95,7.628,578.868828,0.062577,-0.00844,-0.000768
37:00.0,2.805,7.122,578.913813,0.062575,-0.008449,0.002265
38:00.0,6.559,6.614,579.13989,0.062565,-0.008494,0.00526
39:00.0,10.313,6.102,579.543158,0.062548,-0.008578,0.008163
40:00.0,14.065,5.583,580.116665,0.062523,-0.008703,0.010926
41:00.0,17.815,5.056,580.850531,0.06249,-0.008873,0.013501
42:00.0,21.563,4.518,581.732122,0.062451,-0.009096,0.015843
43:00.0,25.309,3.964,582.746276,0.062404,-0.00938,0.017913
44:00.0,29.052,3.39,583.875574,0.062351,-0.009737,0.019676
45:00.0,32.791,2.793,585.100644,0.062292,-0.010186,0.021101
46:00.0,36.527,2.166,586.400501,0.062226,-0.010748,0.022165
47:00.0,40.258,1.501,587.752915,0.062153,-0.011457,0.022851
48:00.0,43.985,0.787,589.134797,0.062073,-0.012359,0.023146
49:00.0,47.707,0.012,590.522592,0.061983,-0.013524,0.023048
50:00.0,51.423,-0.843,591.892689,0.061882,-0.015054,0.022557
51:00.0,55.132,-1.805,593.221814,0.061764,-0.017108,0.021684
52:00.0,58.834,-2.911,594.48743,0.061622,-0.019944,0.020443
53:00.0,62.526,-4.222,595.668109,0.061441,-0.024004,0.018857
54:00.0,66.206,-5.832,596.743894,0.061193,-0.030086,0.016952
55:00.0,69.867,-7.903,597.696624,0.060826,-0.039754,0.014761
56:00.0,73.5,-10.739,598.510237,0.060217,-0.056405,0.012321
57:00.0,77.082,-14.971,599.171031,0.059062,-0.088447,0.009674
58:00.0,80.559,-22.123,599.667888,0.056412,-0.160645,0.006864
59:00.0,83.752,-36.66,599.992454,0.04841,-0.359593,0.003939
00:00.0,85.933,-71.707,600.139274,0.017811,-0.840901,0.000948
01:00.0,85.347,-121.918,600.105883,-0.033861,-0.643875,-0.002059
02:00.0,82.627,-147.204,599.89284,-0.052573,-0.259824,-0.005032
03:00.0,79.291,-158.102,599.503725,-0.057691,-0.126123,-0.00792
04:00.0,75.765,-163.887,598.945079,-0.059589,-0.073833,-0.010675
05:00.0,72.16,-167.493,598.226297,-0.060483,-0.049071,-0.013251
06:00.0,68.515,-169.996,597.359476,-0.060981,-0.035603,-0.015603
07:00.0,64.846,-171.871,596.359219,-0.061295,-0.027524,-0.017692
08:00.0,61.161,-173.355,595.242399,-0.061514,-0.022319,-0.019483
09:00.0,57.465,-174.582,594.027877,-0.061678,-0.018781,-0.020944
10:00.0,53.76,-175.63,592.736196,-0.06181,-0.016273,-0.022051
11:00.0,50.048,-176.548,591.389235,-0.061921,-0.014437,-0.022784
12:00.0,46.33,-177.371,590.009849,-0.062018,-0.013057,-0.02313
13:00.0,42.606,-178.121,588.621484,-0.062103,-0.011999,-0.023083
14:00.0,38.878,-178.816,587.247777,-0.062181,-0.011175,-0.022642
15:00.0,35.145,-179.466,585.912158,-0.062251,-0.010525,-0.021815
16:00.0,31.408,179.919,584.637443,-0.062315,-0.010008,-0.020615
17:00.0,27.667,179.331,583.445446,-0.062372,-0.009596,-0.019062
18:00.0,23.923,178.766,582.356596,-0.062422,-0.009267,-0.017181
19:00.0,20.177,178.218,581.38958,-0.062466,-0.009007,-0.015006
20:00.0,16.428,177.684,580.561017,-0.062503,-0.008805,-0.012573
21:00.0,12.676,177.16,579.885161,-0.062533,-0.008652,-0.009923
22:00.0,8.924,176.645,579.373651,-0.062555,-0.008543,-0.007103
23:00.0,5.17,176.134,579.035303,-0.06257,-0.008473,-0.004159
24:00.0,1.416,175.627,578.87595,-0.062577,-0.008441,-0.001145
25:00.0,-2.339,175.121,578.898341,-0.062576,-0.008446,0.00189
26:00.0,-6.093,174.613,579.102089,-0.062567,-0.008487,0.004892
27:00.0,-9.847,174.101,579.483681,-0.06255,-0.008566,0.00781
28:00.0,-13.599,173.584,580.036538,-0.062526,-0.008685,0.010593
29:00.0,-17.35,173.058,580.751133,-0.062495,-0.00885,0.013193
30:00.0,-21.098,172.521,581.615163,-0.062456,-0.009065,0.015567
31:00.0,-24.844,171.969,582.613768,-0.06241,-0.009341,0.017672
32:00.0,-28.587,171.399,583.729791,-0.062358,-0.009689,0.019475
33:00.0,-32.327,170.805,584.944085,-0.0623,-0.010124,0.020944
34:00.0,-36.063,170.182,586.235845,-0.062234,-0.010671,0.022054
35:00.0,-39.795,169.522,587.582978,-0.062163,-0.011359,0.022787
36:00.0,-43.523,168.815,588.962477,-0.062083,-0.012235,0.023131
37:00.0,-47.245,168.048,590.350825,-0.061995,-0.013362,0.023081
38:00.0,-50.962,167.204,591.724394,-0.061895,-0.014839,0.022639
39:00.0,-54.672,166.258,593.059848,-0.06178,-0.016817,0.021813
40:00.0,-58.375,165.172,594.334537,-0.061642,-0.019537,0.020617
41:00.0,-62.068,163.89,595.526877,-0.061466,-0.023411,0.019072
42:00.0,-65.75,162.325,596.616708,-0.061229,-0.029179,0.017205
43:00.0,-69.414,160.323,597.585629,-0.060881,-0.038271,0.015047
44:00.0,-73.051,157.607,598.417305,-0.060313,-0.053754,0.012636
45:00.0,-76.642,153.604,599.097725,-0.059256,-0.083076,0.010013
46:00.0,-80.137,146.96,599.615442,-0.056896,-0.147667,0.00722
47:00.0,-83.386,133.809,599.961749,-0.050043,-0.321428,0.004307
48:00.0,-85.777,102.273,600.130826,-0.023914,-0.78041,0.001321
49:00.0,-85.583,51.073,600.119833,0.029203,-0.71367,-0.001687
50:00.0,-83.015,22.772,599.928955,0.051399,-0.288788,-0.004667
51:00.0,-79.72,10.811,599.561398,0.057314,-0.136369,-0.007568
52:00.0,-76.208,4.615,599.02334,0.059429,-0.078284,-0.010342
53:00.0,-72.61,0.817,598.323829,0.0604,-0.051346,-0.012942
54:00.0,-68.969,-1.79,597.474637,0.060932,-0.036908,-0.015324
55:00.0,-65.302,-3.727,596.490069,0.061263,-0.028337,-0.017448
56:00.0,-61.619,-5.251,595.386729,0.06149,-0.022858,-0.019278
57:00.0,-57.924,-6.505,594.183248,0.06166,-0.019154,-0.020782
58:00.0,-54.221,-7.571,592.899978,0.061795,-0.016542,-0.021934
59:00.0,-50.509,-8.504,591.558652,0.061908,-0.014636,-0.022714
00:00.0,-46.792,-9.337,590.182025,0.062006,-0.013209,-0.023109
01:00.0,-43.069,-10.096,588.79349,0.062093,-0.012116,-0.02311
02:00.0,-39.341,-10.796,587.416682,0.062172,-0.011266,-0.022718
03:00.0,-35.608,-11.451,586.075078,0.062243,-0.010597,-0.021938
04:00.0,-31.872,-12.07,584.791595,0.062307,-0.010066,-0.020783
05:00.0,-28.132,-12.661,583.588189,0.062365,-0.009642,-0.019273
06:00.0,-24.388,-13.229,582.485481,0.062416,-0.009304,-0.017432
07:00.0,-20.642,-13.779,581.502395,0.062461,-0.009036,-0.015291
08:00.0,-16.893,-14.315,580.655822,0.062499,-0.008827,-0.012888
09:00.0,-13.142,-14.839,579.960324,0.062529,-0.008668,-0.010262
10:00.0,-9.39,-15.356,579.427878,0.062553,-0.008554,-0.00746
11:00.0,-5.636,-15.867,579.067658,0.062568,-0.00848,-0.00453
12:00.0,-1.882,-16.374,578.885876,0.062576,-0.008443,-0.001521
13:00.0,1.873,-16.88,578.885666,0.062576,-0.008443,0.001514
14:00.0,5.627,-17.388,579.067032,0.062568,-0.00848,0.004523
15:00.0,9.381,-17.899,579.426847,0.062553,-0.008554,0.007454
16:00.0,13.134,-18.415,579.958905,0.06253,-0.008668,0.010256
17:00.0,16.884,-18.94,580.65404,0.062499,-0.008826,0.012882
18:00.0,20.633,-19.475,581.500281,0.062461,-0.009035,0.015286
19:00.0,24.38,-20.025,582.483071,0.062416,-0.009303,0.017427
20:00.0,28.123,-20.593,583.585524,0.062365,-0.009641,0.019269
21:00.0,31.863,-21.184,584.788721,0.062307,-0.010065,0.02078
22:00.0,35.6,-21.803,586.072045,0.062243,-0.010596,0.021936
23:00.0,39.332,-22.458,587.413541,0.062172,-0.011265,0.022717
24:00.0,43.06,-23.158,588.790294,0.062093,-0.012114,0.02311
25:00.0,46.783,-23.917,590.17883,0.062006,-0.013206,0.023109
26:00.0,50.501,-24.75,591.555511,0.061908,-0.014633,0.022715
27:00.0,54.212,-25.682,592.896945,0.061795,-0.016537,0.021936
28:00.0,57.916,-26.748,594.180375,0.06166,-0.019147,0.020785
29:00.0,61.611,-28.001,595.384063,0.061491,-0.022847,0.019282
30:00.0,65.294,-29.525,596.487656,0.061263,-0.028321,0.017453
31:00.0,68.96,-31.461,597.472518,0.060933,-0.036883,0.01533
