                                                                              29 Jul 2021 11:18:45
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Cubesat-To-Place-SSU:  Access Summary Report


Cubesat-To-SSU
--------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                      73    15 Oct 2024 08:39:15.816    15 Oct 2024 08:50:13.465           657.648
                      74    15 Oct 2024 10:14:20.419    15 Oct 2024 10:26:53.834           753.415
                      75    15 Oct 2024 20:25:52.406    15 Oct 2024 20:32:51.978           419.572
                      76    15 Oct 2024 21:59:49.419    15 Oct 2024 22:12:41.798           772.380
                      77    15 Oct 2024 23:37:11.282    15 Oct 2024 23:46:27.507           556.225
                      78    16 Oct 2024 08:50:54.671    16 Oct 2024 09:02:36.718           702.047
                      79    16 Oct 2024 10:26:45.834    16 Oct 2024 10:38:53.483           727.649
                      80    16 Oct 2024 20:37:13.912    16 Oct 2024 20:46:10.855           536.942
                      81    16 Oct 2024 22:11:58.072    16 Oct 2024 22:24:49.707           771.635
                      82    16 Oct 2024 23:49:53.225    16 Oct 2024 23:57:37.882           464.656
                      83    17 Oct 2024 09:02:41.129    17 Oct 2024 09:14:55.893           734.764
                      84    17 Oct 2024 10:39:19.199    17 Oct 2024 10:50:48.544           689.345
                      85    17 Oct 2024 20:48:51.662    17 Oct 2024 20:59:09.616           617.953
                      86    17 Oct 2024 22:24:09.784    17 Oct 2024 22:36:51.285           761.501
                      87    18 Oct 2024 00:02:53.512    18 Oct 2024 00:08:25.843           332.330
                      88    18 Oct 2024 07:43:26.080    18 Oct 2024 07:48:08.662           282.582
                      89    18 Oct 2024 09:14:34.482    18 Oct 2024 09:27:11.594           757.112
                      90    18 Oct 2024 10:52:01.959    18 Oct 2024 11:02:37.677           635.718
                      91    18 Oct 2024 21:00:38.823    18 Oct 2024 21:11:55.304           676.481
                      92    18 Oct 2024 22:36:24.617    18 Oct 2024 22:48:46.423           741.806
                      93    19 Oct 2024 07:54:03.881    19 Oct 2024 08:01:17.954           434.073
                      94    19 Oct 2024 09:26:34.330    19 Oct 2024 09:39:24.142           769.812
                      95    19 Oct 2024 11:04:56.717    19 Oct 2024 11:14:18.437           561.720
                      96    19 Oct 2024 21:12:32.437    19 Oct 2024 21:24:31.045           718.608
                      97    19 Oct 2024 22:48:42.819    19 Oct 2024 23:00:34.796           711.977
                      98    20 Oct 2024 08:05:09.521    20 Oct 2024 08:14:03.543           534.021
                      99    20 Oct 2024 09:38:40.519    20 Oct 2024 09:51:33.636           773.117
                     100    20 Oct 2024 11:18:08.947    20 Oct 2024 11:25:45.540           456.593
                     101    20 Oct 2024 21:24:30.932    20 Oct 2024 21:36:58.513           747.582
                     102    20 Oct 2024 23:01:04.896    20 Oct 2024 23:12:15.801           670.905
                     103    21 Oct 2024 08:16:30.140    21 Oct 2024 08:26:38.093           607.953
                     104    21 Oct 2024 09:50:53.101    21 Oct 2024 10:03:40.001           766.899
                     105    21 Oct 2024 11:31:55.774    21 Oct 2024 11:36:42.115           286.341
                     106    21 Oct 2024 20:03:46.321    21 Oct 2024 20:07:57.559           251.239
                     107    21 Oct 2024 21:36:33.405    21 Oct 2024 21:49:18.691           765.286
                     108    21 Oct 2024 23:13:31.795    21 Oct 2024 23:23:48.376           616.581
                     109    22 Oct 2024 08:28:01.447    22 Oct 2024 08:39:05.751           664.304
                     110    22 Oct 2024 10:03:12.333    22 Oct 2024 10:15:42.977           750.644
                     111    22 Oct 2024 20:14:34.611    22 Oct 2024 20:21:53.237           438.626
                     112    22 Oct 2024 21:48:39.324    22 Oct 2024 22:01:32.162           772.838
                     113    22 Oct 2024 23:26:05.259    22 Oct 2024 23:35:10.625           545.366
                     114    23 Oct 2024 08:39:41.373    23 Oct 2024 08:51:28.416           707.043
                     115    23 Oct 2024 10:15:38.754    23 Oct 2024 10:27:42.074           723.320
                     116    23 Oct 2024 20:25:59.053    23 Oct 2024 20:35:08.659           549.606
                     117    23 Oct 2024 22:00:48.402    23 Oct 2024 22:13:39.217           770.815
                     118    23 Oct 2024 23:38:48.959    23 Oct 2024 23:46:18.714           449.755
                     119    24 Oct 2024 08:51:28.786    24 Oct 2024 09:03:47.109           738.322
                     120    24 Oct 2024 10:28:13.276    24 Oct 2024 10:39:36.446           683.170
                     121    24 Oct 2024 20:37:38.350    24 Oct 2024 20:48:05.374           627.024
                     122    24 Oct 2024 22:13:00.534    24 Oct 2024 22:25:39.938           759.404
                     123    24 Oct 2024 23:51:53.393    24 Oct 2024 23:57:01.972           308.579
                     124    25 Oct 2024 07:32:01.226    25 Oct 2024 07:37:09.355           308.129
                     125    25 Oct 2024 09:03:23.023    25 Oct 2024 09:16:02.383           759.359
                     126    25 Oct 2024 10:40:57.457    25 Oct 2024 10:51:24.648           627.191
                     127    25 Oct 2024 20:49:26.525    25 Oct 2024 21:00:49.586           683.061
                     128    25 Oct 2024 22:25:15.809    25 Oct 2024 22:37:34.184           738.375
                     129    26 Oct 2024 07:42:44.414    26 Oct 2024 07:50:13.841           449.427
                     130    26 Oct 2024 09:15:23.726    26 Oct 2024 09:28:14.531           770.805
                     131    26 Oct 2024 10:53:54.126    26 Oct 2024 11:03:03.998           549.871
                     132    26 Oct 2024 21:01:20.875    26 Oct 2024 21:13:24.131           723.256
                     133    26 Oct 2024 22:37:34.506    26 Oct 2024 22:49:21.612           707.106
                     134    27 Oct 2024 07:53:52.461    27 Oct 2024 08:02:57.565           545.104
                     135    27 Oct 2024 09:27:30.768    27 Oct 2024 09:40:23.617           772.849
                     136    27 Oct 2024 11:07:09.469    27 Oct 2024 11:14:28.526           439.057
                     137    27 Oct 2024 21:13:19.957    27 Oct 2024 21:25:50.571           750.614
                     138    27 Oct 2024 22:49:57.175    27 Oct 2024 23:01:01.550           664.375
                     139    28 Oct 2024 08:05:14.681    28 Oct 2024 08:15:31.041           616.360
                     140    28 Oct 2024 09:39:44.219    28 Oct 2024 09:52:29.559           765.340
                     141    28 Oct 2024 11:21:04.884    28 Oct 2024 11:25:17.093           252.209
                     142    28 Oct 2024 19:52:20.899    28 Oct 2024 19:57:06.952           286.053
                     143    28 Oct 2024 21:25:22.929    28 Oct 2024 21:38:09.823           766.894
                     144    28 Oct 2024 23:02:24.845    28 Oct 2024 23:12:32.865           608.020
                     145    29 Oct 2024 08:16:47.229    29 Oct 2024 08:27:57.957           670.728
                     146    29 Oct 2024 09:52:04.384    29 Oct 2024 10:04:32.058           747.675
                     147    29 Oct 2024 20:03:17.389    29 Oct 2024 20:10:53.874           456.485
                     148    29 Oct 2024 21:37:29.293    29 Oct 2024 21:50:22.414           773.120
                     149    29 Oct 2024 23:14:59.419    29 Oct 2024 23:23:53.494           534.076
                     150    30 Oct 2024 08:28:28.212    30 Oct 2024 08:40:20.051           711.839
                     151    30 Oct 2024 10:04:31.829    30 Oct 2024 10:16:30.586           718.757
                     152    30 Oct 2024 20:14:44.465    30 Oct 2024 20:24:06.135           561.670
                     153    30 Oct 2024 21:49:38.789    30 Oct 2024 22:02:28.620           769.831
                     154    30 Oct 2024 23:27:45.038    30 Oct 2024 23:34:59.128           434.090
                     155    31 Oct 2024 08:40:16.569    31 Oct 2024 08:52:38.270           741.700
                     156    31 Oct 2024 10:17:07.536    31 Oct 2024 10:28:24.240           676.704
                     157    31 Oct 2024 20:26:25.209    31 Oct 2024 20:37:00.915           635.707
                     158    31 Oct 2024 22:01:51.347    31 Oct 2024 22:14:28.479           757.132
                     159    31 Oct 2024 23:40:54.398    31 Oct 2024 23:45:36.899           282.501
                     160     1 Nov 2024 07:20:37.543     1 Nov 2024 07:26:08.980           331.437
                     161     1 Nov 2024 08:52:11.692     1 Nov 2024 09:04:53.128           761.436
                     162     1 Nov 2024 10:29:53.180     1 Nov 2024 10:40:11.462           618.282
                     163     1 Nov 2024 20:38:14.342     1 Nov 2024 20:49:43.696           689.355
                     164     1 Nov 2024 22:14:07.069     1 Nov 2024 22:26:21.832           734.763
                     165     2 Nov 2024 07:31:25.350     2 Nov 2024 07:39:09.413           464.063
                     166     2 Nov 2024 09:04:13.245     2 Nov 2024 09:17:04.870           771.626
                     167     2 Nov 2024 10:42:51.870     2 Nov 2024 10:51:49.302           537.432
                     168     2 Nov 2024 20:50:09.410     2 Nov 2024 21:02:17.073           727.662
                     169     2 Nov 2024 22:26:26.272     2 Nov 2024 22:38:08.298           702.026
                     170     3 Nov 2024 07:42:35.647     3 Nov 2024 07:51:51.428           555.781
                     171     3 Nov 2024 09:16:21.139     3 Nov 2024 09:29:13.551           772.411
                     172     3 Nov 2024 10:56:10.615     3 Nov 2024 11:03:10.973           420.358
                     173     3 Nov 2024 21:02:09.064     3 Nov 2024 21:14:42.505           753.441
                     174     3 Nov 2024 22:38:49.549     3 Nov 2024 22:49:47.153           657.604
                     175     4 Nov 2024 07:53:59.407     4 Nov 2024 08:04:23.885           624.478
                     176     4 Nov 2024 09:28:35.470     4 Nov 2024 09:41:19.060           763.590
                     177     4 Nov 2024 11:10:17.198     4 Nov 2024 11:13:48.956           211.757
                     178     4 Nov 2024 19:40:57.654     4 Nov 2024 19:46:14.103           316.449
                     179     4 Nov 2024 21:14:12.523     4 Nov 2024 21:27:00.836           768.313
                     180     4 Nov 2024 22:51:18.017     4 Nov 2024 23:01:17.173           599.156
                     181     5 Nov 2024 08:05:33.168     5 Nov 2024 08:16:50.087           676.919
                     182     5 Nov 2024 09:40:56.565     5 Nov 2024 09:53:21.071           744.506
                     183     5 Nov 2024 19:52:00.669     5 Nov 2024 19:59:53.950           473.281
                     184     5 Nov 2024 21:26:19.328     5 Nov 2024 21:39:12.556           773.228
                     185     5 Nov 2024 23:03:53.772     5 Nov 2024 23:12:36.103           522.331
                     186     6 Nov 2024 08:17:15.187     6 Nov 2024 08:29:11.630           716.444
                     187     6 Nov 2024 09:53:25.053     6 Nov 2024 10:05:19.015           713.962
                     188     6 Nov 2024 20:03:30.130     6 Nov 2024 20:13:03.310           573.180
                     189     6 Nov 2024 21:38:29.243     6 Nov 2024 21:51:17.906           768.663
                     190     6 Nov 2024 23:16:41.494     6 Nov 2024 23:23:39.099           417.605
                     191     7 Nov 2024 06:59:31.121     7 Nov 2024 07:01:06.870            95.750
                     192     7 Nov 2024 08:29:04.482     7 Nov 2024 08:41:29.386           744.904
                     193     7 Nov 2024 10:06:01.969     7 Nov 2024 10:17:11.924           669.955
                     194     7 Nov 2024 20:15:12.228     7 Nov 2024 20:25:56.244           644.017
                     195     7 Nov 2024 21:50:42.223     7 Nov 2024 22:03:16.907           754.684
                     196     7 Nov 2024 23:29:56.892     7 Nov 2024 23:34:10.262           253.370
                     197     8 Nov 2024 07:09:14.798     8 Nov 2024 07:15:07.748           352.950
                     198     8 Nov 2024 08:41:00.473     8 Nov 2024 08:53:43.816           763.343
                     199     8 Nov 2024 10:18:49.137     8 Nov 2024 10:28:58.115           608.978
                     200     8 Nov 2024 20:27:02.278     8 Nov 2024 20:38:37.640           695.362
                     201     8 Nov 2024 22:02:58.397     8 Nov 2024 22:15:09.364           730.968
                     202     9 Nov 2024 07:20:06.653     9 Nov 2024 07:28:04.698           478.045
                     203     9 Nov 2024 08:53:02.880     9 Nov 2024 09:05:55.159           772.279
                     204     9 Nov 2024 10:31:49.960     9 Nov 2024 10:40:34.338           524.379
                     205     9 Nov 2024 20:38:58.035     9 Nov 2024 20:51:09.877           731.843
                     206     9 Nov 2024 22:15:18.113     9 Nov 2024 22:26:54.849           696.736
                     207    10 Nov 2024 07:31:19.072    10 Nov 2024 07:40:45.133           566.061
                     208    10 Nov 2024 09:05:11.628    10 Nov 2024 09:18:03.430           771.802
                     209    10 Nov 2024 10:45:12.462    10 Nov 2024 10:51:52.800           400.338
                     210    10 Nov 2024 20:50:58.246    10 Nov 2024 21:03:34.309           756.063
                     211    10 Nov 2024 22:27:42.019    10 Nov 2024 22:38:32.599           650.580
                     212    11 Nov 2024 07:42:44.312    11 Nov 2024 07:53:16.634           632.322
                     213    11 Nov 2024 09:17:26.842    11 Nov 2024 09:30:08.497           761.655
                     214    11 Nov 2024 10:59:35.071    11 Nov 2024 11:02:15.335           160.265
                     215    11 Nov 2024 19:29:35.996    11 Nov 2024 19:35:19.609           343.613
                     216    11 Nov 2024 21:03:02.183    11 Nov 2024 21:15:51.729           769.546
                     217    11 Nov 2024 22:40:11.323    11 Nov 2024 22:50:01.287           589.964
                     218    12 Nov 2024 07:54:19.257    12 Nov 2024 08:05:42.149           682.892
                     219    12 Nov 2024 09:29:48.884    12 Nov 2024 09:42:10.007           741.123
                     220    12 Nov 2024 19:40:44.389    12 Nov 2024 19:48:53.519           489.130
                     221    12 Nov 2024 21:15:09.420    12 Nov 2024 21:28:02.591           773.171
                     222    12 Nov 2024 22:52:48.338    12 Nov 2024 23:01:18.443           510.106
                     223    13 Nov 2024 08:06:02.297    13 Nov 2024 08:18:03.149           720.852
                     224    13 Nov 2024 09:42:18.432    13 Nov 2024 09:54:07.351           708.919
                     225    13 Nov 2024 19:52:16.025    13 Nov 2024 20:02:00.190           584.165
                     226    13 Nov 2024 21:27:19.760    13 Nov 2024 21:40:07.085           767.325
                     227    13 Nov 2024 23:05:38.384    13 Nov 2024 23:12:18.562           400.178
                     228    14 Nov 2024 06:47:47.408    14 Nov 2024 06:50:26.119           158.711
                     229    14 Nov 2024 08:17:52.513    14 Nov 2024 08:30:20.446           747.933
                     230    14 Nov 2024 09:54:56.595    14 Nov 2024 10:05:59.488           662.892
                     231    14 Nov 2024 20:03:59.405    14 Nov 2024 20:14:51.370           651.965
                     232    14 Nov 2024 21:39:33.161    14 Nov 2024 21:52:05.222           752.061
                     233    14 Nov 2024 23:19:01.476    14 Nov 2024 23:22:41.463           219.988
                     234    15 Nov 2024 06:57:52.843    15 Nov 2024 07:04:05.827           372.984
                     235    15 Nov 2024 08:29:49.376    15 Nov 2024 08:42:34.459           765.083
                     236    15 Nov 2024 10:07:45.339    15 Nov 2024 10:17:44.594           599.255
                     237    15 Nov 2024 20:15:50.328    15 Nov 2024 20:27:31.423           701.095
                     238    15 Nov 2024 21:51:49.794    15 Nov 2024 22:03:56.772           726.978
                     239    16 Nov 2024 07:08:48.304    16 Nov 2024 07:16:59.728           491.423
                     240    16 Nov 2024 08:41:52.634    16 Nov 2024 08:54:45.400           772.766
                     241    16 Nov 2024 10:20:48.427    16 Nov 2024 10:29:19.074           510.647
                     242    16 Nov 2024 20:27:46.750    16 Nov 2024 20:40:02.547           735.796
                     243    16 Nov 2024 22:04:10.033    16 Nov 2024 22:15:41.268           691.235
                     244    17 Nov 2024 07:20:02.718    17 Nov 2024 07:29:38.705           575.986
                     245    17 Nov 2024 08:54:02.238    17 Nov 2024 09:06:53.259           771.020
                     246    17 Nov 2024 10:34:15.121    17 Nov 2024 10:40:33.891           378.771
                     247    17 Nov 2024 20:39:47.504    17 Nov 2024 20:52:25.996           758.492
                     248    17 Nov 2024 22:16:34.589    17 Nov 2024 22:27:17.889           643.300
                     249    18 Nov 2024 07:31:29.386    18 Nov 2024 07:42:09.283           639.897
                     250    18 Nov 2024 09:06:18.340    18 Nov 2024 09:18:57.883           759.543
                     251    18 Nov 2024 10:49:08.210    18 Nov 2024 10:50:26.550            78.340
                     252    18 Nov 2024 19:18:15.570    18 Nov 2024 19:24:23.827           368.257
                     253    18 Nov 2024 20:51:51.911    18 Nov 2024 21:04:42.513           770.602
                     254    18 Nov 2024 22:29:04.765    18 Nov 2024 22:38:45.201           580.436
                     255    19 Nov 2024 07:43:05.487    19 Nov 2024 07:54:34.137           688.650
                     256    19 Nov 2024 09:18:41.345    19 Nov 2024 09:30:58.883           737.539
                     257    19 Nov 2024 19:29:28.514    19 Nov 2024 19:37:52.636           504.122
                     258    19 Nov 2024 21:03:59.581    19 Nov 2024 21:16:52.507           772.926
                     259    19 Nov 2024 22:41:43.121    19 Nov 2024 22:50:00.486           497.365
                     260    20 Nov 2024 07:54:49.530    20 Nov 2024 08:06:54.610           725.080
                     261    20 Nov 2024 09:31:11.966    20 Nov 2024 09:42:55.606           703.641
                     262    20 Nov 2024 19:41:02.141    20 Nov 2024 19:50:56.805           594.664
                     263    20 Nov 2024 21:16:10.330    20 Nov 2024 21:28:56.153           765.823
                     264    20 Nov 2024 22:54:35.772    20 Nov 2024 23:00:57.459           381.687
                     265    21 Nov 2024 06:36:13.290    21 Nov 2024 06:39:35.858           202.568
                     266    21 Nov 2024 08:06:40.666    21 Nov 2024 08:19:11.454           750.788
                     267    21 Nov 2024 09:43:51.415    21 Nov 2024 09:54:46.930           655.515
                     268    21 Nov 2024 19:52:46.721    21 Nov 2024 20:03:46.293           659.573
                     269    21 Nov 2024 21:28:24.161    21 Nov 2024 21:40:53.421           749.259
                     270    21 Nov 2024 23:08:09.323    21 Nov 2024 23:11:09.327           180.005
                     271    22 Nov 2024 06:46:31.562    22 Nov 2024 06:53:03.311           391.749
                     272    22 Nov 2024 08:18:38.397    22 Nov 2024 08:31:25.052           766.656
                     273    22 Nov 2024 09:56:41.802    22 Nov 2024 10:06:30.885           589.083
                     274    22 Nov 2024 20:04:38.484    22 Nov 2024 20:16:25.046           706.563
                     275    22 Nov 2024 21:40:41.258    22 Nov 2024 21:52:44.054           722.796
                     276    23 Nov 2024 06:57:30.271    23 Nov 2024 07:05:54.520           504.249
                     277    23 Nov 2024 08:30:42.504    23 Nov 2024 08:43:35.589           773.085
                     278    23 Nov 2024 10:09:47.290    23 Nov 2024 10:18:03.478           496.188
                     279    23 Nov 2024 20:16:35.550    23 Nov 2024 20:28:55.078           739.528
                     280    23 Nov 2024 21:53:02.027    23 Nov 2024 22:04:27.546           685.519
                     281    24 Nov 2024 07:08:46.577    24 Nov 2024 07:18:32.141           585.564
                     282    24 Nov 2024 08:42:52.967    24 Nov 2024 08:55:43.031           770.064
                     283    24 Nov 2024 10:23:18.733    24 Nov 2024 10:29:14.107           355.374
                     284    24 Nov 2024 18:56:43.792    24 Nov 2024 18:58:53.901           130.109
                     285    24 Nov 2024 20:28:36.833    24 Nov 2024 20:41:17.559           760.726
                     286    24 Nov 2024 22:05:27.258    24 Nov 2024 22:16:03.014           635.756
                     287    25 Nov 2024 07:20:14.629    25 Nov 2024 07:31:01.845           647.216
                     288    25 Nov 2024 08:55:09.966    25 Nov 2024 09:07:47.201           757.235
                     289    25 Nov 2024 19:06:56.128    25 Nov 2024 19:13:26.990           390.862
                     290    25 Nov 2024 20:40:41.702    25 Nov 2024 20:53:33.180           771.478
                     291    25 Nov 2024 22:17:58.354    25 Nov 2024 22:27:28.907           570.553
                     292    26 Nov 2024 07:31:51.867    26 Nov 2024 07:43:26.056           694.189
                     293    26 Nov 2024 09:07:33.944    26 Nov 2024 09:19:47.678           733.734
                     294    26 Nov 2024 19:18:13.003    26 Nov 2024 19:26:51.325           518.322
                     295    26 Nov 2024 20:52:49.798    26 Nov 2024 21:05:42.315           772.517
                     296    26 Nov 2024 22:30:38.149    26 Nov 2024 22:38:42.220           484.071
                     297    27 Nov 2024 07:43:36.896    27 Nov 2024 07:55:46.017           729.120
                     298    27 Nov 2024 09:20:05.665    27 Nov 2024 09:31:43.760           698.095
                     299    27 Nov 2024 19:29:48.459    27 Nov 2024 19:39:53.159           604.700
                     300    27 Nov 2024 21:05:00.963    27 Nov 2024 21:17:45.109           764.145
                     301    27 Nov 2024 22:43:33.731    27 Nov 2024 22:49:35.715           361.984
                     302    28 Nov 2024 06:24:43.358    28 Nov 2024 06:28:41.499           238.141
                     303    28 Nov 2024 07:55:28.940    28 Nov 2024 08:08:02.406           753.466
                     304    28 Nov 2024 09:32:46.432    28 Nov 2024 09:43:34.243           647.811
                     305    28 Nov 2024 19:41:34.176    28 Nov 2024 19:52:41.034           666.857
                     306    28 Nov 2024 21:17:15.223    28 Nov 2024 21:29:41.504           746.281
                     307    28 Nov 2024 22:57:23.442    28 Nov 2024 22:59:30.847           127.404
                     308    29 Nov 2024 06:35:10.869    29 Nov 2024 06:42:00.296           409.427
                     309    29 Nov 2024 08:07:27.535    29 Nov 2024 08:20:15.600           768.066
                     310    29 Nov 2024 09:45:38.536    29 Nov 2024 09:55:16.981           578.445
                     311    29 Nov 2024 19:53:26.748    29 Nov 2024 20:05:18.513           711.764
                     312    29 Nov 2024 21:29:32.786    29 Nov 2024 21:41:31.209           718.423
                     313    30 Nov 2024 06:46:12.534    30 Nov 2024 06:54:49.095           516.562
                     314    30 Nov 2024 08:19:32.492    30 Nov 2024 08:32:25.728           773.236
                     315    30 Nov 2024 09:58:46.600    30 Nov 2024 10:06:47.519           480.919
                     316    30 Nov 2024 20:05:24.435    30 Nov 2024 20:17:47.475           743.040
                     317    30 Nov 2024 21:41:54.108    30 Nov 2024 21:53:13.685           679.577
                     318     1 Dec 2024 06:57:30.641     1 Dec 2024 07:07:25.448           594.807
                     319     1 Dec 2024 08:31:43.818     1 Dec 2024 08:44:32.749           768.930
                     320     1 Dec 2024 10:12:23.501     1 Dec 2024 10:17:53.250           329.749
                     321     1 Dec 2024 18:45:05.472     1 Dec 2024 18:48:16.459           190.987
                     322     1 Dec 2024 20:17:26.235     1 Dec 2024 20:30:09.004           762.769
                     323     1 Dec 2024 21:54:20.032     1 Dec 2024 22:04:47.974           627.942
                     324     2 Dec 2024 07:09:00.042     2 Dec 2024 07:19:54.314           654.272
                     325     2 Dec 2024 08:44:01.723     2 Dec 2024 08:56:36.452           754.729
                     326     2 Dec 2024 18:55:37.503     2 Dec 2024 19:02:29.276           411.773
