"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 16:11:42.127,0.000,0.437504,-153.580,-139.304830,20.000000,95.019063,19.200,52.1861,55.1964,1.000000e-30
1 Jan 2025 16:12:42.000,0.000,0.437502,-153.172,-138.896387,20.000000,95.427506,19.200,52.5945,55.6048,1.000000e-30
1 Jan 2025 16:13:42.000,0.000,0.437500,-153.006,-138.730740,20.000000,95.593153,19.200,52.7601,55.7704,1.000000e-30
1 Jan 2025 16:14:42.000,0.000,0.437498,-153.114,-138.839046,20.000000,95.484847,19.200,52.6518,55.6621,1.000000e-30
1 Jan 2025 16:15:42.000,0.000,0.437497,-153.477,-139.201979,20.000000,95.121914,19.200,52.2889,55.2992,1.000000e-30
1 Jan 2025 16:15:59.573,0.000,0.437496,-153.624,-139.348599,20.000000,94.975294,19.200,52.1423,55.1526,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 17:40:58.194,0.000,0.437510,-153.503,-139.227673,20.000000,95.096220,19.200,52.2632,55.2735,1.000000e-30
1 Jan 2025 17:41:58.000,0.000,0.437510,-151.997,-137.721895,20.000000,96.601998,19.200,53.7690,56.7793,1.000000e-30
1 Jan 2025 17:42:58.000,0.000,0.437510,-150.218,-135.942283,20.000000,98.381611,19.200,55.5486,58.5589,1.000000e-30
1 Jan 2025 17:43:58.000,0.000,0.437509,-148.113,-133.837427,20.000000,100.486466,19.200,57.6535,60.6638,1.000000e-30
1 Jan 2025 17:44:58.000,0.000,0.437507,-145.732,-131.456279,20.000000,102.867614,19.200,60.0346,63.0449,1.000000e-30
1 Jan 2025 17:45:58.000,0.000,0.437503,-143.669,-129.393273,20.000000,104.930620,19.200,62.0976,65.1079,1.000000e-30
1 Jan 2025 17:46:58.000,0.000,0.437497,-143.496,-129.220781,20.000000,105.103113,19.200,62.2701,65.2804,1.000000e-30
1 Jan 2025 17:47:58.000,0.000,0.437493,-145.405,-131.129484,20.000000,103.194409,19.200,60.3614,63.3717,1.000000e-30
1 Jan 2025 17:48:58.000,0.000,0.437491,-147.800,-133.524526,20.000000,100.799367,19.200,57.9664,60.9767,1.000000e-30
1 Jan 2025 17:49:58.000,0.000,0.437490,-149.951,-135.675675,20.000000,98.648218,19.200,55.8152,58.8255,1.000000e-30
1 Jan 2025 17:50:58.000,0.000,0.437490,-151.773,-137.497462,20.000000,96.826431,19.200,53.9934,57.0037,1.000000e-30
1 Jan 2025 17:51:58.000,0.000,0.437490,-153.317,-139.041357,20.000000,95.282536,19.200,52.4495,55.4598,1.000000e-30
1 Jan 2025 17:52:11.620,0.000,0.437490,-153.635,-139.359491,20.000000,94.964402,19.200,52.1314,55.1417,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 19:15:34.066,0.000,0.437509,-153.501,-139.225516,20.000000,95.098377,19.200,52.2654,55.2757,1.000000e-30
1 Jan 2025 19:16:34.000,0.000,0.437508,-152.262,-137.986661,20.000000,96.337233,19.200,53.5042,56.5145,1.000000e-30
1 Jan 2025 19:17:34.000,0.000,0.437507,-150.971,-136.695659,20.000000,97.628234,19.200,54.7952,57.8055,1.000000e-30
1 Jan 2025 19:18:34.000,0.000,0.437505,-149.744,-135.469049,20.000000,98.854844,19.200,56.0218,59.0321,1.000000e-30
1 Jan 2025 19:19:34.000,0.000,0.437503,-148.817,-134.541260,20.000000,99.782633,19.200,56.9496,59.9599,1.000000e-30
1 Jan 2025 19:20:34.000,0.000,0.437500,-148.494,-134.219173,20.000000,100.104720,19.200,57.2717,60.2820,1.000000e-30
1 Jan 2025 19:21:34.000,0.000,0.437497,-148.918,-134.643198,20.000000,99.680695,19.200,56.8477,59.8580,1.000000e-30
