9 Jan 2025 15:33:41.431,0.000,0.437508,-153.633,-139.357645,20.000000,94.966248,19.200,52.1332,55.1435,1.000000e-30
9 Jan 2025 15:33:57.441,0.000,0.437507,-153.352,-139.077159,20.000000,95.246734,19.200,52.4137,55.4240,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
10 Jan 2025 13:40:18.321,0.000,0.437510,-153.631,-139.355760,20.000000,94.968133,19.200,52.1351,55.1454,1.000000e-30
10 Jan 2025 13:40:18.836,0.000,0.437510,-153.619,-139.343963,20.000000,94.979930,19.200,52.1469,55.1572,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
10 Jan 2025 15:14:34.993,0.000,0.437509,-153.634,-139.359095,20.000000,94.964798,19.200,52.1318,55.1421,1.000000e-30
10 Jan 2025 15:15:03.226,0.000,0.437509,-153.059,-138.784177,20.000000,95.539716,19.200,52.7067,55.7170,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
11 Jan 2025 14:55:36.057,0.000,0.437510,-153.635,-139.359524,20.000000,94.964369,19.200,52.1314,55.1417,1.000000e-30
11 Jan 2025 14:56:09.010,0.000,0.437509,-152.893,-138.617934,20.000000,95.705959,19.200,52.8729,55.8832,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
12 Jan 2025 14:36:42.735,0.000,0.437510,-153.635,-139.359432,20.000000,94.964462,19.200,52.1314,55.1417,1.000000e-30
12 Jan 2025 14:37:14.795,0.000,0.437510,-152.870,-138.594998,20.000000,95.728895,19.200,52.8959,55.9062,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
13 Jan 2025 14:17:54.232,0.000,0.437510,-153.634,-139.358880,20.000000,94.965013,19.200,52.1320,55.1423,1.000000e-30
13 Jan 2025 14:18:20.580,0.000,0.437510,-152.993,-138.717764,20.000000,95.606129,19.200,52.7731,55.7834,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
14 Jan 2025 13:59:10.369,0.000,0.437510,-153.633,-139.357601,20.000000,94.966292,19.200,52.1333,55.1436,1.000000e-30
14 Jan 2025 13:59:26.366,0.000,0.437510,-153.249,-138.973703,20.000000,95.350190,19.200,52.5172,55.5275,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
14 Jan 2025 15:33:54.953,0.000,0.437508,-153.633,-139.357622,20.000000,94.966271,19.200,52.1333,55.1436,1.000000e-30
14 Jan 2025 15:34:10.752,0.000,0.437507,-153.357,-139.081423,20.000000,95.242470,19.200,52.4095,55.4198,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
15 Jan 2025 13:40:31.427,0.000,0.437510,-153.631,-139.355786,20.000000,94.968108,19.200,52.1351,55.1454,1.000000e-30
15 Jan 2025 13:40:32.147,0.000,0.437510,-153.615,-139.339274,20.000000,94.984619,19.200,52.1516,55.1619,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
15 Jan 2025 15:14:48.407,0.000,0.437509,-153.634,-139.359085,20.000000,94.964808,19.200,52.1318,55.1421,1.000000e-30
15 Jan 2025 15:15:16.537,0.000,0.437509,-153.062,-138.787093,20.000000,95.536800,19.200,52.7038,55.7141,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
16 Jan 2025 14:55:49.396,0.000,0.437510,-153.635,-139.359522,20.000000,94.964371,19.200,52.1314,55.1417,1.000000e-30
16 Jan 2025 14:56:22.323,0.000,0.437509,-152.894,-138.619222,20.000000,95.704671,19.200,52.8717,55.8820,1.000000e-30

