"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 22:28:48.961,0.000,0.437506,-153.556,-139.281103,20.000000,95.042790,19.200,52.2098,55.2201,1.000000e-30
1 Jan 2025 22:29:48.000,0.000,0.437505,-152.776,-138.500633,20.000000,95.823260,19.200,52.9902,56.0005,1.000000e-30
1 Jan 2025 22:30:48.000,0.000,0.437503,-152.154,-137.878964,20.000000,96.444929,19.200,53.6119,56.6222,1.000000e-30
1 Jan 2025 22:31:48.000,0.000,0.437501,-151.813,-137.538045,20.000000,96.785848,19.200,53.9528,56.9631,1.000000e-30
1 Jan 2025 22:32:48.000,0.000,0.437499,-151.829,-137.553775,20.000000,96.770118,19.200,53.9371,56.9474,1.000000e-30
1 Jan 2025 22:33:48.000,0.000,0.437497,-152.198,-137.922822,20.000000,96.401071,19.200,53.5681,56.5784,1.000000e-30
1 Jan 2025 22:34:48.000,0.000,0.437495,-152.840,-138.564905,20.000000,95.758988,19.200,52.9260,55.9363,1.000000e-30
1 Jan 2025 22:35:46.855,0.000,0.437494,-153.630,-139.355047,20.000000,94.968846,19.200,52.1358,55.1461,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 23:59:31.903,0.000,0.437510,-153.497,-139.221454,20.000000,95.102439,19.200,52.2694,55.2797,1.000000e-30
1 Jan 2025 23:59:59.992,0.000,0.437510,-152.799,-138.523864,20.000000,95.800029,19.200,52.9670,55.9773,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 23:59:59.992,0.000,0.437510,-152.799,-138.523864,20.000000,95.800029,19.200,52.9670,55.9773,1.000000e-30
2 Jan 2025 00:00:59.000,0.000,0.437510,-151.129,-136.853610,20.000000,97.470283,19.200,54.6373,57.6476,1.000000e-30
2 Jan 2025 00:01:59.000,0.000,0.437510,-149.055,-134.779451,20.000000,99.544443,19.200,56.7114,59.7217,1.000000e-30
2 Jan 2025 00:02:59.000,0.000,0.437509,-146.446,-132.171241,20.000000,102.152652,19.200,59.3196,62.3299,1.000000e-30
2 Jan 2025 00:03:59.000,0.000,0.437508,-143.200,-128.924376,20.000000,105.399517,19.200,62.5665,65.5768,1.000000e-30
2 Jan 2025 00:04:59.000,0.000,0.437502,-140.355,-126.079688,20.000000,108.244205,19.200,65.4112,68.4215,1.000000e-30
2 Jan 2025 00:05:59.000,0.000,0.437495,-141.475,-127.200110,20.000000,107.123783,19.200,64.2908,67.3011,1.000000e-30
2 Jan 2025 00:06:59.000,0.000,0.437491,-144.837,-130.561411,20.000000,103.762482,19.200,60.9295,63.9398,1.000000e-30
