"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 16:29:56.218,0.000,0.437510,-153.635,-139.359258,20.000000,94.964635,19.200,52.1316,55.1419,1.000000e-30
1 Jan 2025 16:30:56.000,0.000,0.437510,-152.133,-137.857889,20.000000,96.466004,19.200,53.6330,56.6433,1.000000e-30
1 Jan 2025 16:31:56.000,0.000,0.437510,-150.345,-136.069255,20.000000,98.254639,19.200,55.4216,58.4319,1.000000e-30
1 Jan 2025 16:32:56.000,0.000,0.437509,-148.191,-133.915568,20.000000,100.408325,19.200,57.5753,60.5856,1.000000e-30
1 Jan 2025 16:33:56.000,0.000,0.437508,-145.639,-131.364024,20.000000,102.959869,19.200,60.1269,63.1372,1.000000e-30
1 Jan 2025 16:34:56.000,0.000,0.437504,-143.120,-128.844769,20.000000,105.479124,19.200,62.6461,65.6564,1.000000e-30
1 Jan 2025 16:35:56.000,0.000,0.437498,-142.461,-128.185995,20.000000,106.137898,19.200,63.3049,66.3152,1.000000e-30
1 Jan 2025 16:36:56.000,0.000,0.437493,-144.470,-130.194703,20.000000,104.129190,19.200,61.2962,64.3065,1.000000e-30
1 Jan 2025 16:37:56.000,0.000,0.437491,-147.123,-132.847719,20.000000,101.476174,19.200,58.6432,61.6535,1.000000e-30
1 Jan 2025 16:38:56.000,0.000,0.437490,-149.456,-135.180556,20.000000,99.143337,19.200,56.3103,59.3206,1.000000e-30
1 Jan 2025 16:39:56.000,0.000,0.437490,-151.393,-137.117749,20.000000,97.206145,19.200,54.3731,57.3834,1.000000e-30
1 Jan 2025 16:40:56.000,0.000,0.437490,-153.013,-138.737475,20.000000,95.586419,19.200,52.7534,55.7637,1.000000e-30
1 Jan 2025 16:41:16.218,0.000,0.437490,-153.501,-139.225599,20.000000,95.098294,19.200,52.2653,55.2756,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 18:05:47.929,0.000,0.437505,-153.626,-139.351113,20.000000,94.972780,19.200,52.1398,55.1501,1.000000e-30
1 Jan 2025 18:06:47.000,0.000,0.437503,-153.078,-138.803122,20.000000,95.520772,19.200,52.6878,55.6981,1.000000e-30
