"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 22:25:39.289,0.000,0.437510,-153.510,-139.235066,20.000000,95.088827,19.200,52.2558,55.2661,1.000000e-30
1 Jan 2025 22:26:39.000,0.000,0.437509,-152.087,-137.811891,20.000000,96.512002,19.200,53.6790,56.6893,1.000000e-30
1 Jan 2025 22:27:39.000,0.000,0.437509,-150.465,-136.190238,20.000000,98.133655,19.200,55.3006,58.3109,1.000000e-30
1 Jan 2025 22:28:39.000,0.000,0.437508,-148.681,-134.405954,20.000000,99.917939,19.200,57.0849,60.0952,1.000000e-30
1 Jan 2025 22:29:39.000,0.000,0.437505,-146.935,-132.659375,20.000000,101.664518,19.200,58.8315,61.8418,1.000000e-30
1 Jan 2025 22:30:39.000,0.000,0.437502,-145.810,-131.534925,20.000000,102.788968,19.200,59.9560,62.9663,1.000000e-30
1 Jan 2025 22:31:39.000,0.000,0.437497,-146.030,-131.754287,20.000000,102.569606,19.200,59.7366,62.7469,1.000000e-30
1 Jan 2025 22:32:39.000,0.000,0.437494,-147.426,-133.151155,20.000000,101.172738,19.200,58.3397,61.3500,1.000000e-30
1 Jan 2025 22:33:39.000,0.000,0.437492,-149.225,-134.950162,20.000000,99.373731,19.200,56.5407,59.5510,1.000000e-30
1 Jan 2025 22:34:39.000,0.000,0.437491,-150.972,-136.696766,20.000000,97.627127,19.200,54.7941,57.8044,1.000000e-30
1 Jan 2025 22:35:39.000,0.000,0.437490,-152.537,-138.262095,20.000000,96.061798,19.200,53.2288,56.2391,1.000000e-30
1 Jan 2025 22:36:26.188,0.000,0.437490,-153.635,-139.359566,20.000000,94.964327,19.200,52.1313,55.1416,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 23:59:27.463,0.000,0.437509,-153.496,-139.220269,20.000000,95.103624,19.200,52.2706,55.2809,1.000000e-30
1 Jan 2025 23:59:59.992,0.000,0.437509,-152.766,-138.490737,20.000000,95.833156,19.200,53.0001,56.0104,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
1 Jan 2025 23:59:59.992,0.000,0.437509,-152.766,-138.490737,20.000000,95.833156,19.200,53.0001,56.0104,1.000000e-30
2 Jan 2025 00:00:59.000,0.000,0.437509,-151.322,-137.047069,20.000000,97.276824,19.200,54.4438,57.4541,1.000000e-30
2 Jan 2025 00:01:59.000,0.000,0.437508,-149.715,-135.439915,20.000000,98.883978,19.200,56.0510,59.0613,1.000000e-30
2 Jan 2025 00:02:59.000,0.000,0.437506,-148.090,-133.814429,20.000000,100.509464,19.200,57.6765,60.6868,1.000000e-30
2 Jan 2025 00:03:59.000,0.000,0.437503,-146.811,-132.535774,20.000000,101.788119,19.200,58.9551,61.9654,1.000000e-30
2 Jan 2025 00:04:59.000,0.000,0.437499,-146.476,-132.200977,20.000000,102.122916,19.200,59.2899,62.3002,1.000000e-30
2 Jan 2025 00:05:59.000,0.000,0.437495,-147.302,-133.026867,20.000000,101.297027,19.200,58.4640,61.4743,1.000000e-30
2 Jan 2025 00:06:59.000,0.000,0.437493,-148.799,-134.523700,20.000000,99.800193,19.200,56.9672,59.9775,1.000000e-30
2 Jan 2025 00:07:59.000,0.000,0.437492,-150.439,-136.163791,20.000000,98.160103,19.200,55.3271,58.3374,1.000000e-30
2 Jan 2025 00:08:59.000,0.000,0.437491,-151.985,-137.709994,20.000000,96.613899,19.200,53.7809,56.7912,1.000000e-30
2 Jan 2025 00:09:59.000,0.000,0.437491,-153.376,-139.100386,20.000000,95.223507,19.200,52.3905,55.4008,1.000000e-30
2 Jan 2025 00:10:10.672,0.000,0.437491,-153.628,-139.352410,20.000000,94.971484,19.200,52.1385,55.1488,1.000000e-30

"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
2 Jan 2025 11:27:32.681,0.000,0.437510,-153.629,-139.354062,20.000000,94.969832,19.200,52.1368,55.1471,1.000000e-30
2 Jan 2025 11:28:32.000,0.000,0.437510,-152.220,-137.944717,20.000000,96.379176,19.200,53.5462,56.5565,1.000000e-30
2 Jan 2025 11:29:32.000,0.000,0.437509,-150.580,-136.305039,20.000000,98.018854,19.200,55.1858,58.1961,1.000000e-30
2 Jan 2025 11:30:32.000,0.000,0.437508,-148.716,-134.440793,20.000000,99.883100,19.200,57.0501,60.0604,1.000000e-30
2 Jan 2025 11:31:32.000,0.000,0.437506,-146.744,-132.468479,20.000000,101.855414,19.200,59.0224,62.0327,1.000000e-30
2 Jan 2025 11:32:32.000,0.000,0.437503,-145.179,-130.904189,20.000000,103.419704,19.200,60.5867,63.5970,1.000000e-30
2 Jan 2025 11:33:32.000,0.000,0.437498,-144.999,-130.723593,20.000000,103.600300,19.200,60.7673,63.7776,1.000000e-30
2 Jan 2025 11:34:32.000,0.000,0.437494,-146.359,-132.083738,20.000000,102.240155,19.200,59.4071,62.4174,1.000000e-30
2 Jan 2025 11:35:32.000,0.000,0.437492,-148.312,-134.037113,20.000000,100.286780,19.200,57.4538,60.4641,1.000000e-30
2 Jan 2025 11:36:32.000,0.000,0.437491,-150.220,-135.944864,20.000000,98.379029,19.200,55.5460,58.5563,1.000000e-30
